,er_name,er_location,er_freinds,er_reviews,er_photos,er_rating,er_date,er_text,er_useful,er_funny,er_cool
0,My N.,"Tampa, FL",665,135,248,5.0,10/28/2018,A very fun speak-easy! I would highly recommend to anyone looking for a chill night out. You do have to make reservations earlier in the day since the place is pretty small. Not sure if I was hungry or the food items were surprisingly good given their names/descriptions. Our server was also a pro at taking instax pics *u*,1,,1
1,Gary L.,"New York, NY",113,41,16,3.0,10/12/2018,"Came here at 8pm on a Wednesday without a reservation, and was quoted a 45 minute wait. They took my number and told me they'd call me. My friend and I then went to another bar a couple of blocks away to wait. I turned my phone over so I wouldn't be distracted but accidentally missed their call, and I noticed about 3 minutes after they called. I tried calling back but they didn't answer.We decided to walk back to Please Don't Tell as we assumed our table was ready. We get there and they tell me that our table was given away because we didn't answer the phone, and it would be a 10-15 minute wait. My friend and I decided to wait, except 10 minutes turned into 40, and multiple follow-ups with the hostess. Finally we got seated at around 10. The speakeasy itself had a cool vibe, it wasn't just a young crowd or an old crowd, it was pretty mixed which was nice. The drink I had was quite good. Can't remember what it was called but it was the girliest one on the menu.",1,2,
2,Nancy T.,"Los Angeles, CA",135,502,1215,4.0,9/14/2018,This is a cool place to hang out. It's a speakeasy so calling to make reservations is highly suggested if you are with a group. You enter through a hot dog restaurant next door which is interesting.Their drinks are good. I had wine and my friends had cocktails. I also had their hot dog and it was delicious! I think they might work with their next door neighbors.Their hot dog had corn and beans and tasted like a burrito and a hot dog at the same time.,2,2,6
3,Sarah S.,"Chicago, IL",4699,2638,17919,5.0,9/7/2018,"My friend and I stood outside on the street, completely unable to find Please Don't Tell. We looked around dazed & confused, kept going over the number until we finally walked into Crif Dogs desperate to find the entrance. Legit, it took us about 10 minutes to figure out how the F to find the secret entrance to Please Don't Tell. Well played, speakeasy, well played.Please Don't Tell recommends making reservations and I'd concur even if off times & weekdays to be safe. When my friend and I went, we got in just be the skin of our teeth (#idiomsftw) because someone had seconds before cancelled their reservation. We snagged the last couple seats at the bar and were feeling like rockstars.  It's dark and romantic, I'm sure scoring big to impress dates with a secluded little speakeasy. You can also order some eats from Crif while you are sipping on your drinks. PDT is a mostly cocktail bar but they do have a selection of beer & wine, as well. While my friend and I were there we had the Peeking Duck and Katz' Meow both $16. I'm not going to pretend we ordered these drinks for any reason more than the ingredients sounded like incredibly unique creations. The Perkin Duck has a myriad of ingredients in it including ginger & soy sauce - pretty cool! We had one drink and found them both to be one-of-a-kind but perhaps a bit too interesting for our tastes. Really fun place to definitely hit up while doing a barhop in the area! You won't regret it!",17,13,18
4,Su C.,"Manhattan, New York, NY",0,66,188,4.0,11/18/2018,"The infamous hidden bar in e. Village that I finally got to try. Although we knew it was hidden, it was still hard to find since the door was sort of hidden with an old phone inside of a fastfood take out shop which was pretty cool. I know there is usually waiting but we actually got here 15 minutes before the opening hour so we were one of the first ones to get in. The place is extremely small with only a couple of tables and a bar with about 10 stools. The drinks were super expensive but the vibe is built into it, so I was okay with it. Definitely worth a visit!",,,
5,Marietta C.,"New York, NY",49,130,2824,2.0,7/28/2018,"So we've been trying to get into PDT for MONTHS and we finally did! I was pleasantly disappointed.Ever since we moved to NY there's been a huge rave about PDT. I was so excited going through the ""hot dog"" place to find this cool, secluded, exclusive, mysterious, little phone booth where you call to try to get in. After multiple tries, phone calls, etc, we were never able to get in until now. We passed by on a Sunday afternoon at about 6pm and they told us they'd call us just make sure to stick around the area.After a good hour or two, we finally got the call! We rushed back and we were ecstatic. After finally making it past the little phone booth and mysterious door, we get in to the real deal, the real room. It's dark, exclusive, filled with taxidermy, woodsy, antique-y. We had just had dinner and drinks elsewhere so we thought of just sharing a drink, it was four of us so we would only order 3 drinks. Well, you had a minimum of one drink and one drink only. They were ""too busy"" to even let us order two. We were all forced to have one drink but that's all we could have. I asked for recommendations to their drinks and mentioned how much I love aperol so they recommended one of their drinks, Queen Crimson. Basically, once I got my drink it was an 8 oz cup filled not even fully by a HUGE ice cube. If I were to take it out my cup probably wouldn't even take up of one third of the drink which just tasted like a cheap rosè. I had no energy to complain about the drink since they were already complaining about us ordering one drink each and not having time to serve us two drinks. Truthfully, I was disappointed by the rave, the drinks. I tried all 3 drinks that our friends ordered and I wasn't impressed. Very watered down and weak. Nothing special.If mix going to have such an exclusive, elite, special spot where you can hardly get in, be rushed and pressured, where they only sell drinks, then it bette be the BEST drink of my life. Instead, it was meh. I've had better drinks in a chili's for happy hour. Well, not really, but you get the point! Bottom line, you gotta go at least once if you're in NY. Don't have high hopes. Don't order more than one drink.",7,3,1
6,Stuart G.,"Bloomfield, NJ",139,89,35,5.0,8/3/2018,"Made reservations here for a friends birthday and it is very cool. It's is a speakeasy, You go down into the hotdog front and there is a phone booth you go into and call. They then let you in through the phone booth.Bar has a very cool chilled vibe. It's a little dark but looks very cool and has a great setting. Cocktails are all $16 which is very reasonable for this area and experience. There is a great variety, I especially enjoyed the pacific crest and Benton's old fashioned.Staff and friendly and quick and keep up the speakeasy vibe, Santi was our server and she was awesome.The hot dogs are great too, we came out and got a selection of hotdogs recommended by Zoe the server out there. The bacon wrapped hotdogs are amazing with some awesome toppings.They also serve beer here, I got sip of sunshine which is an awesome beer and not many places serve it.",1,1,
7,Melanie R.,"New York, NY",76,203,400,2.0,6/18/2018,"If you're going to make a place exclusive and difficult to get in I would hope you meet at least half my expectation. On Friday at 3pm I was calling non-stop to get a reservation. By 3:30pm a woman finally picked up and said it's fully booked for the night. My friend and I dropped by at 8pm to put our names down. We were quoted 3 hours.In the past they always claimed to contact us via phone call when the table is ready. They never did. Most of the time I get impatient and just forget about it. I guess this would happen frequently when you tell your customers the wait is 3 hours. However, on this particular night I called to check the status of my wait after 1.5 hours. My table was ready! Great! Except she told me to be there within 5 mins. I ran like my life was on the line. We were seated by the bar. Ordered some drinks and food. The drinks came quickly but they were both underwhelming. On the bright side, the hotdogs and tater tots were very good! But that credit goes to Crif dogs. It's honestly not worth your time or money. I really thought I'd be missing out.",2,2,
8,Priscilla M.,"San Antonio, TX",0,3,8,5.0,11/5/2018,"We are visiting from San Antonio, Tx. I heard about PDT at a seminar about 5 years ago, which included word of mouth marketing. The facilitator was speaking about The Crif Dogs a hot dog stand with a phone booth that lead to the a separate bar. I told everyone when I get to NY this is on the list of places to see. The first visit was with family and kids, so we didn't make it! The next visit we made it to the location, we were early but there was already a line. When the host came out I asked; is there availability? She said ""no""! I asked, is there anyway we can at least have a drink? She said she can fit us in for an hour; so drinks only it is! It was worth it! It's not a party place, it's very laid back atmosphere! Thank you to the wonderful host mission accomplished!",,,
9,Joshua W.,"Manhattan, New York, NY",89,112,56,4.0,8/21/2018,"Good, not quite legendary.I've been wanting to come to PDT for years, as it is arguably the most famous bar in NYC. Yes it's a speakeasy. However, that is honestly the most tired bar ""twist"" these days.More notable is the bar itself. It's fairly small, but offers very good cocktails and delicious food (honestly, the hot dogs, from the neighboring joint, but served at PDT, were the highlight of the night). We each had 2 cocktails, all of which were very good.Why the four stars, then? The experience was poor. Our servers were not amiable, and showed no interest in discussing the cocktails with us. Frankly, they were aloof.The 4 stars here are for the bartender and the next-door hot dog chef. PDT is worth going to for the drinks and its reputation alone! You'll have a very good time. That said, it is not quite at the top tier of cocktail bars.",1,,
