,er_name,er_location,er_freinds,er_reviews,er_photos,er_rating,er_date,er_text,er_useful,er_funny,er_cool
0,Christa R.,"Queens, NY",355,46,23,5.0,10/31/2018,Such a cool little bar in lower east. Came here after work for happy hour on a Tuesday (bummer that there's no burlesque show then but I'll be back) and had a few cocktails. It's intimate and wasn't too crowded which was nice but I imagine it can be tight on busy nights as it's a small bar. The happy hour special goes until ten pm which is a great deal and nice wide open time window. The bartender was amazing and so nice and was quick to take my order.,,,
1,Douglas K.,"Queens, NY",143,547,1,4.0,10/19/2018,"Nested in the the bustling streets of LES, you'll find this little gem to either start or end the night with a drink. Surprisingly, the place is rarely for a Saturday evening which is a nice surprise for the area. Drinks are reasonable and the live DJ put everyone in a good mood. I would say that they do have a small bar so selection may be limited. Worth checking out with a small group.",,,
2,Whitney M.,"Montclair, NJ",37,17,0,5.0,8/30/2018,"An incredible place! We went on a Wednesday night. The bartenders were friendly, knowledgeable, and talented. The speciality drinks were expansive, well priced, and fairly original. The vibe was welcoming, friendly, and fun. A diverse group of folks were in attendance to watch and support the free burlesque performances. The performances were great! High energy, good costumes, and a variety of ""types""--super feminine women, non binary, queer women. The only downside, it's extremely cramped with limited seating. We went on a Wednesday night and it was packed! You could barely breathe without touching someone. Despite the small space, I'll definitely be back again'",1,,
3,Emi B.,"Manhattan, NY",157,359,1387,3.0,10/21/2018,"Cute bar with very interesting innovative cocktail menu. However, the cocktail did not turned up as good as expected and more than half was just ice. Three sip and my $14 drink was over ... kinda sad.Hope was just the bartender, prob would give it another try?!",,,
4,Jing X.,"Brooklyn, NY",258,641,2734,5.0,10/19/2018,This bar has it all!  Happy Hour until 10pm!  1 free well-drink with a purchase with the yelp check-in offer.  And free burlesque shows on Wedn & Thurs nights with an emcee who keeps you laughing throughout the night.  The dancers change every week.  Solid place to have a guaranteed good time on a weeknight!,1,,1
5,Nick W.,"New York, NY",358,5,1,5.0,11/8/2018,So much fun and great specials.,,,
6,Jamie W.,"Somerville, MA",141,142,639,3.0,7/8/2018,"I really really wanted to love Nurse Bettie. The space was small, but very chic. I love the look of tin ceilings and chandeliers. The space is eclectic, but perfectly dim. I wish the back area had a ledge or a small table because there is no where to lean or set your drink in that part of the bar. Despite the small space, there was an awesome DJ, but the music was a touch too loud for the low key vibe of the bar, especially because there's not really any room for dancing. The drink menu was super promising and one of my friends had an excellent cocktail, but the two bartenders were night and day in terms of quality. The brown haired bartender took a full 15 minutes to make 3 drinks and they were awful. The balance was completely off (and tasted totally different than the excellent drink the other bartender took a minute to make our friend). Next time I'm in the city I might give this place another try, especially for the burlesque show, but it's definitely not top of my list.",1,,1
7,Elizabeth P.,"Dartmouth, MA",54,6,12,4.0,6/3/2018,"Went to free burlesque show Thursday night It was packed! Small bar space Popular Arrive before 9 pm recommend Bartender honor yelp check in free drink Host, and three burlesque performances were great Stripper/ dancer  in between acts and at beginning and end of shows was unfortunate Asking for money and club dancing ugg not the same art Good drinks Friendly bar staff Loud",2,,
8,Cristina T.,"Wellington, FL",13,16,0,5.0,10/26/2018,Awesome place to have a yummy drink. Definitely a must. Had the ginger's island and it was delish.,,,
9,LA LA L.,"Los Angeles, CA",7,80,56,3.0,10/13/2018,"Extremely tiny.. not small but TINY. The bartender was cool, and the Cuban mint ice tea rock! It is a place to pre game for the real party atmosphere... Go for the Happy Hour. Best price.",,,
