,er_name,er_location,er_freinds,er_reviews,er_photos,er_rating,er_date,er_text,er_useful,er_funny,er_cool
0,Paula F.,"Los Angeles, CA",46,305,2218,5.0,10/19/2018,"Fresh in from Los Angeles, this was the first restaurant my bf and I visited in NY.  We arrived in NY late and began our search for dinner at 11: 00 pm. There were a lot of restaurants open in the Times Square area but none had many vegetarian options.  We walked about a mile looking at restaurants until we stumbled upon West End Bar and Grill.  The veggie burger caught my eye when we looked at the menu outside.  When we ventured inside,  I noticed a casual and relaxed bar with the baseball playoffs on.  (Go LA Dodgers!). There were two relatively small areas for dining.  The vibe was social and fun.The menu contained a huge list of alcoholic beverages and a wonderful selection of food options (tacos, burgers, salads, starters, wraps, sandwiches, starters and sides).  My bf ordered the Greek Chicken Pita and I had my burger with rainbow carrots.  The food was brought out quickly and was plated well.  The carrots were amazing and the bean burger was very tasty with a semi-crusted outer layer.  My bf comment this pita was delicious.  Service was outstanding.  Our sever was friendly and helpful.There were three restrooms- unisex, men, and women.  The restrooms, although quite small,  were functional and well designed.  Rounding up from a 4.5, this place rated a 5.",,,1
1,Steven T.,"Riverside, CA",71,110,34,3.0,10/19/2018,"Went in for pre theater drinks; should be simple enough. My niece had wine, no problem and reasonable price. I ordered a double shot espresso. What I got was anything but. Not sure what they're using to make it, but it was thin weak and flavorless. I'm thinking it was some instant add water and stir packaged stuff. Must avoid at all costs.",,,
2,Beenish H.,"Brooklyn, NY",496,259,703,3.0,8/15/2018,"Caters to the tourist masses that ""venture"" out after the evening Broadway showings.  Do not be mistaken, we are locals.  I must state that for the record, for my own sanity, as well.  After watching Wicked and Spongebob, respectively, we were ready to chow down.I happened upon this place, and figured, hey, it's far enough from the theater district, yeah right.  Long story, short, my niece and I ended up here first since Wicked ended an hour earlier than Spongebob.  I ordered the grilled chicken Greek pita samich served with fries.  Niece ordered the salmon main served with jasmine rice and pickled onions.  While the food tasted fine and all, there was absolutely nothing memorable about the food, at all.  It was perty straight forward with small and overpriced portions.  I'm typically not one to point that out unless necessary.  It is necessary.Sis ordered the same as me, and nephew had the burger which seemed very lackluster.  It was fine for what was open and around at 11pm on a weeknight close to the theater district.",6,3,5
3,Christine A.,"Atlanta, GA",349,162,47,4.0,11/20/2018,"A few coworkers and I dropped in here for lunch a few weeks back and were pleasantly surprised by their lunch menu - a complimentary glass of wine or beer is served with the lunch menu. All of us enjoyed a Yuengling lager with our meal. I had a burger and fries and one of my other coworkers had Chicken Parmesan sliders. I believe all of us were satisfied with the meal. They also offer a ""grilled cheese"" of the day which sounded phenomenal. If I'm ever back in the area, I might drop back in here sometime!",,,
4,Mitch E.,"Atlanta, GA",277,181,662,5.0,9/24/2018,"Incredibly great service and delicious food. I had the Classic Burger with portabella mushrooms and grilled onions, topped off with hand-cut fries. Perfect.",,,
5,Scott F.,"Sturtevant, WI",16,12,0,4.0,11/18/2018,Great service and the wings were the best. Got in late into the city and the room in the back was just what we needed to start our time NY... the lobster soup was great too.,,,
6,Jeannie T.,"Queens, NY",321,454,6450,4.0,4/25/2018,"This is a great after work happy hour hot spot (certain drinks are $7 - see list of the day, from 4PM - 7PM).  This is also a good pre-theater dinner hub if you're seeing a Broadway show nearby as it is steps from a few theaters.  My girlfriend and I met up here for dinner and drinks. The bar area and first dining space you encounter is roomy.  The tables are well spaced. There is a soft dim on the lighting all throughout - even a nice blue glow above the bar.  It is thankfully not so dark where you can't read the menu. This place has a chill /relaxed vibe. Just beyond that first dining area, in the way back, there's a much quieter and intimate back dining area. Great space for a smaller private event or if you want to be in a more intimate setting.Onto the drinks/food:The ""Lush Life Martini"" is highly recommended by myself and the waitress (I didn't get her name but she was very polite and served us well throughout the evening).  Great combo of flavors: pineapple infused vodka, triple sec, lemon and cranberry.  Happy Hour price to boot (as noted above).For dinner, I recommend the braised red wine (beef) short ribs.  Very savory (sauce - red wine demi-glace) and fork tender (no knife necessary).  The side of rainbow carrots and the buttery mashed potatoes were an excellent accompaniment to the beef.  My girlfriend ordered the Glazed Salmon.  The soy chili glaze was what made it great.  (We both love salmon).For dessert, there was no printed menu so the waitress just told us the three choices (carrot cake, cheesecake and a chocolate lava cake).  We opted to share the chocolate lava cake which was sweet but not over the top.  Perfect way to end the meal.   BTW, it wasn't advertised on the Yelp page, but upon check in on Yelp, a window popped up saying 'free glass of wine with any entree'. I totally took advantage of that and ordered a glass of Reisling.  That was a nice surprise!I shall return...next time to try the drool worthy tuna appetizer and maybe the fish tacos.  Looked so good at our neighboring table.",9,3,9
7,Tricia G.,"Turnersville, NJ",230,652,1495,5.0,4/29/2018,"Absolutely delicious food for all four gals visiting NYC for 'Wicked' on this beautiful day.We just happened to go in off the cuff - we had no clue.  I quickly checked Yelp on the way in, and was glad to see the great reviews.  BONUS - a Yelp check in for a glass of wine.  NOICE!Two of us had their AMAZING pumpkin pancakes with maple syrup and pecans.  They were topped with freshly sliced strawberries.  Two others had burgers, which they really enjoyed.We were seated promptly and by floor length windows, which were cracked open, giving us a nice breeze.  I stink with directions, but would seek this out when in the city again.  (when asked, the bartender specially made a 'Blue Hawaiian' for my one friend - quite pretty!). Great place!",1,,1
8,Kelly G.,"Morristown, NJ",133,86,69,4.0,3/17/2018,"My boyfriend and I went here before our show and we were not dissappointed! We both got a hangar steak with mashed potatoes and green beans.The plate may look small but we each had more than enough to fill us up. The steak practically fell apart and melted in our mouths. It was pretty salty but that didnt take away from the rest of its flavor. The green beans were also not cooked as much as I would have liked but the meal was very nice. The only downside was that our reservations started at 5pm and by the time we had finished with our meal ~6:15 they ran out of coffee to go with dessert. We had very attentive service, and the price was very reasonable for midtown west! Will definitely consider going again",1,,
9,Cari S.,"La Plata, MD",2,38,43,4.0,10/19/2018,"We stopped in after the theater dinner crowd had gone through.  The decor is rich with dim lighting, great for a date night! My husband wanted the lasagna which was a special.  When he ordered he was disappointed to find out they were out of this.  He chose fish tacos instead.  They were ok. They were salty so by the time he finished two, he was done with the heavy salt seasoning taste. I had the kale salad with grilled shrimp. The shrimp were good.  The salad was topped with an apple cranberry compote. I quickly mixed it in with my salad. A big mistake! I should have only used about half of it. The compote just took over the other flavors in the salad. Overall, the salad was good, fresh and unique.",,,
