,er_name,er_location,er_freinds,er_reviews,er_photos,er_rating,er_date,er_text,er_useful,er_funny,er_cool
0,Chrissy B.,"Queens, NY",16,113,189,4.0,9/16/2018,"We found this gem because it was near the Gershwin Theater and we had an hour to spare before our show started. The service was good and our food was delivered pretty quickly which I liked. Our waiter seemed to be taking his time which was slightly annoying especially since we told him we were on a time crunch (he made several trips just to take our orders which was weird; I figured why not just take all the orders at the same time?).Anywho, when we finally placed all of our orders, our food came literally in 5 minutes which I was really happy about; I mean after all, we mainly ordered pasta. I ordered the fettuccine funghi and it was really good. My mom ordered the spaghetti with some meat sauce but it was very bland. If I'm in the area I'd stop by again.",,,
1,Neil K.,"Old Bridge, NJ",60,91,11,3.0,11/9/2018,"Came for the Prix Fixed pre theater dinner $26.95, but only 2 dishes were at that price, all others had surcharges. We decided on ordering off the menu ala carte. Service was pretty good and attentive. Tables for two are close to each other. Food is just okay. Mussels came with some cold on top, hotter on bottom, and some unopened. Salad, arugula, gorgonzola, pear, walnuts, bacon, parmesan basket, Italian vinaigrette 13.95, was lacking the Gorgonzola and the basket was impossible to eat. Rigatoni Alla Siciliana, eggplant, tomato, basil and mozzarella had me searching for the eggplant. Wine by the glass had house wine with cheapest choice at $12.  Coffee and tea were $3.50.",1,1,1
2,Philippe L.,"Mercier-Hochelaga-Maisonneuve, Canada",20,50,0,3.0,7/19/2018,"Got the Prix Fixe for dinner.  Soup was a broccoli purée and it was nothing spectacular, had the chicken parm for dinner which was completely drowned in tomato sauce thus masking any possible subtlety.  The prix fixe is 26.95 in midtown so I guess you can't ask for too much.  The tiramisu likely came from a box.I don't think I'd go back, this is fairly average Italian fare across the board.",,,
3,Dannie W.,"Boston, MA",41,321,730,4.0,11/8/2018,"The service is good. The seating is a bit tight. The food is good in general with a few offs. POLPO E CECI: the octopus is really good. I like the texture and the taste. The chickpeas and olives are very good combinations too. Definitely recommend this dish. BRUSCHETTA: horrible. It's probably one of the worst I've ever had. Just like a bunch of diced tomatoes are put on top of a piece of bread and have a piece of cheese on top. Nothing special. FETTUCCINE AI FUNGHI: tastes pretty good. The sauce taste and pasta texture are good. Just they say mixed mushrooms even though I can only see one type of mushroom. hazelnut ice cream: very good. Even though I'm not a hazelnut fan, I like the flavor a lot. Cream brûlée: it's ok. Wish the bottom layer to have more rich flavor and a bit more firm. Chianti from Tuscany: pretty good",,,
4,Ariana B.,"Manhattan, NY",6,16,0,5.0,10/23/2018,"I've been coming to Maria Pia for years before/after seeing shows and it's always been a lovely experience- with a reasonable/tasty prix fix option for theater district. A few weekends ago, my family and friends surprised me with a bridal shower at Maria Pia! It was absolutely seamless, the food was excellent Michael and his staff could not have been more accommodating to myself or my mother who was anxious to make sure the surprise and the afternoon went off without a hitch (which it did)! Absolutely recommend Maria Pia for a meal in the theater district or for your special event/party. The pricing is reasonable and the service is above and beyond!",1,,
5,Michael S.,"New York, NY",11,5,5,2.0,11/4/2018,This restaurant demonstrated that they only care about getting people out the door quickly. Everyone's food came cold and it was impossible to get the waiters' attention.,1,,
6,Jami P.,"Elkhart, IN",0,8,0,3.0,10/27/2018,"Quick service and turn of the tables; however, there was only 4 of us and they added gratuity to the bill and didn't tell us, refused to split our checks up and then when we asked if they did anything to celebrate birthdays they said oh yes and offered two choices to bring out but then charged us for it....never told us there was a cost!!  SCAM!  Ended up with a double tip!  Watch your bills!!",,1,
7,Lucie T.,"New York, NY",16,77,405,4.0,7/2/2018,Great for lunch or dinner. Near the theater district for affordable prices on great Italian food. The tiramisu was moist and delicious. I have been here before with my colleagues and always enjoyed the service.,,,
8,Jacqueline L.,"Brooklyn, NY",1,35,58,3.0,6/7/2018,"I came here for the 1st time with a restaurant.com certificate. My son loves calamari but I find it tasteless but it came with the fried zuchini which was unique. The flavor of the chicken marsala was pretty good but the chicken breast is just too thinly sliced. The penne a la volka didnt taste like that sauce and it came in chucks of dry chicken breast. I definitely dont recommend that. Even though my son loves pasta, he didnt even eat half of it. Service: The waiter never checked on us and a 18% gratuity was automatically added.",1,,
9,Dina P.,"Bronx, Bronx, NY",0,5,0,3.0,10/7/2018,"Had dinner for five last night just after 5pm. The room quickly filled up. The good:  quick and attentive service and reasonably priced, the burrata appetizer was delicious. The just ok:  food was fresh but not particularly well seasoned, the monkfish special was bland, as was the spaghetti and meatballs. The ravioli was meager at just 5 pieces. The bad:  the bathrooms were dirty and slippery, the noise level was very loud (forget about a romantic date night) and the gratuity of 20% was already added to the bill. Definitely check your bill. When the credit slip came back to sign there was still a blank line for tip. I hate to think how many people must unknowingly tip twice.",1,,
