,er_name,er_location,er_freinds,er_reviews,er_photos,er_rating,er_date,er_text,er_useful,er_funny,er_cool
0,Henry T.,"New York, NY",305,668,1934,5.0,10/5/2018,"I paid a visit here once evening because I was craving bubble tea for the longest time. I was originally planning to go to KFT across the street but after hearing that they were out of tapioca, I paid a visit here. I arrived 20 minutes prior to closing, so shout outs to CoCo for still having tapioca! I ordered a large jasmine milk tea with 30% sugar and ice with pudding and tapioca. Everything was prepared efficiently and the one girl who took my order and made my drink was extremely friendly. The store was empty aside from one other party when I came and was it kept clean. The tapioca was nice and soft and slightly sweetened, while the egg pudding was also delicious. The jasmine milk tea had a nice slight hint of jasmine to it, without being too overwhelming. Overall, I'd highly recommend CoCo whenever you're in the area and craving a bubble tea. I think this just be my new go-to spot over Kung Fu Tea now.",2,,
1,Ruwan J.,"New York, NY",376,677,30522,4.0,8/30/2018,"casual grab-n-go Boba tea place with seating, located on St. Marks Place.narrow space. modern/ish interior + exposed brick. there's seating sectioned off in the back. space is air-conditioned and brightly lit.variety of teas: milk teas to fruit teas to smoothies and more. add-ons like Boba  (tapioca balls), jellies, red beans, etc. are extra ($.50). medium and large are the standard sizes for pretty much everything ($4-$6 price range + tax). you select your sweetness level here like other Taiwanese-styled tea places. the fruit teas err on the sweeter side, of course.i typically get the the Mango Green Tea: decently caffeinated AND solid flavor.  it's a good portable dessert drink--refreshing treat.  i grab-n-go and don't stick around. the place gets super busy when NYU/Cooper Union students are out and about or extremely warm days.service is solid. though lines can build bc there's typically only one employee working the register and making teas when I've been there.drops mic cuz i got my grip-n-sipi outzzz",12,9,11
2,Joshua D.,"Liverpool, NY",323,399,1039,4.0,7/29/2018,"I have to give CoCo some credit.  In the city where bubble tea places are absolutely everywhere, they definitely stand out.  From really tasty flavors to having a really cute look,  they know how to keep you coming back for more.  They aren't my favor bubble tea place, but they are definitely ranked pretty high on the list.  The prices are about the same between them and all of the competition in the area as well. This location on St.Marks is extremely convenient due to the fact there are so many places there that have wait times.  I often get on the wait list at a nearby restaurant, then come here and relax with a drink until it gets time to go eat. As for flavors. You can get everything from your standard milk tea to all sorts of fruit teas as well. I do recommend coming here if your in the area.",3,,1
3,Liz S.,"New York, NY",792,698,1550,2.0,7/11/2018,"Came here largely because Kung Fu and other drink spots on St. Mark's were super crowded on a hot Sunday afternoon.Although CoCo had a shorter line, it ended up taking about five minutes to order and another five to get my drink. They only had one person working both the cash register and the drink making-- what? She did a great job but they need more people staffed.Interior is your standard corporate fare, but unpleasantly, the climate control wasn't working properly and it was quite warm inside. I wouldn't want to hang around here.I had one of the cheaper drinks, which ended up being around $5 after tax and tip. Chocolate milk tea sounded appropriately indulgent, but I definitely shouldn't have skimped on the sugar-- at 50%, it was super bitter and artificial-tasting. What's worse was that the powder wasn't all mixed up, so I kept drinking clumps even after I tried to mix it around.Boba isn't my usual bag, but I've had enough in NYC and Houston that this stood out as a disappointment to me.",3,,1
4,Joy H.,"Toronto, Canada",14,92,298,5.0,4/30/2018,"CoCo has really consistent drinks, even across countries!We ordered a pearl milk tea and passionfruit tea with tapioca. Both drinks tasted like the same CoCo from back home in Toronto, which was nice. They are also generous with their tapioca!The staff there were also really nice, although soft spoken. The drinks were made pretty fast on the lazy Sunday afternoon we were there, there was only one other customer already inside when we arrived.CoCo is a really reliable franchise to get bubble tea. Their prices are pretty decent and their custard jelly option is pretty neat too.",,,
5,Yang X.,"New York, NY",460,208,196,4.0,1/8/2018,Value: 8/10Experience: 8/10Taste: 8/10Fast service with good seating and good selection of bubble teas.Value: I got the medium 2 Ladies for $4. It was definitely fair price for what I got. Actually a bit cheaper than other bubble tea places like KFT I think.Experience: The service was super fast and the seating was plentiful. Probably got my drink in under 3 minutes. The bathroom was out of service though.Taste: The tea was mild and not too sweet. I got the warm tea by the tea was sitting out for a bit so it was just warm. It didn't bother me but know that your hot drink might not be piping hot.,1,,
6,Irene L.,"Manhattan, New York, NY",115,97,171,2.0,6/6/2018,"This does not compare to the coco fresh overseas in China. First they do not have loyalty cards and no check in offers. The ones in China taste very fresh and has a lot of pudding and bubbles. Over here there's less. I order the 3 guys large and it was almost $7. It has bubbles, pudding and grass jelly. It was okay. Nothing compare to the one I had it China. The area was spacious but the back smells like cigarette smoke.",,,
7,Hannah H.,"Alexandria, VA",485,3957,29995,3.0,7/23/2017,"CoCo started out in Dansui, and its menu offers milk teas, fresh milk, chocolate beverages, fresh fruit teas, tea lattes, yakult, tea machciator, and slush & smoothies.  The hubs and I stopped by to order some drinks - we tried the Fresh Lemonade and the Grapefruit Green Tea, both with no toppings/bubbles.  The Fresh Lemonade was pretty refreshing, as it had a nice tartness to it; the Grapefruit Green Tea, on the other hand, didn't taste good, as while it had bits of grapefruit flesh throughout, the combination with the green tea didn't work, making it more of bitter drink.There are only about 4 tables, and a waiting bench in front of the pick-up area.  For those who need to use the restroom, it's unisex and locked, and you need to get a key from one of the employees.This isn't a place to do any work, as the volume is extremely high.+Fresh Lemonade drinks+unisex restrooms - requires a key",4,2,4
8,Bowie W.,"Boston, MA",561,103,160,3.0,8/29/2017,"Pros:- Good place to sit and study or chat with a friend. There's more seating than I'd expect from a boba place and it isn't usually crowded- It isn't the best boba I've ever had, but it wasn't the worst eitherCons:- Like most boba place, this places uses artificial flavoring and depending on what kind of drink you get, it can be very noticeableSpecifics:- Grapefruit Green Tea = Very strong grapefruit flavor and not too sugary. Perfect for a hot summer day.- 2 Ladies = The milk was very creamy and the tea taste was distinct. Did not order this myself since my friend chose it but after trying it I would",1,,1
9,Mehrnaz H.,"Cupertino, CA",76,473,889,4.0,7/24/2017,"Stumbled across this tea shop late at night, they were out of lemon so we couldn't try the lemon drinks that we had hoped for...Their teas are mixed with fresh juice and it gives it a great fresh feeling on a hot night!! Loved the ratio of tea to juice and it was a very pleasant drink. Will definitely come back and try again when then have lemons",1,,
