,er_name,er_location,er_freinds,er_reviews,er_photos,er_rating,er_date,er_text,er_useful,er_funny,er_cool
0,Robert T.,"Houston, TX",8,10,5,5.0,9/2/2018,"This place had a great breakfast, great service and fast!  Second, the bar at night had great atmosphere and the staff was awesome. Can't say enough great things about Angelica. Awesome!",,,
1,Zehra M.,"New York, NY",138,98,157,3.0,7/11/2018,A solid happy hour spot to spend time at with coworkers. They have a nice outdoor space and pub-like indoor seating depending on your preference and if you can snag a table. I'd recommend making a reservation in advance if you come here with a large group as the place gets packed on Thursdays and Fridays. Service could be drastically better and you'll be swimming among a sea of finance bros.,,,
2,Tom L.,"Coxsackie, NY",0,3,0,1.0,11/2/2018,Don't order the sandwiches. They are not good. The entrees looked and tasted good. The poutine was tasty. I am 53 years in this city. If you can't make a Reuben Sandwich you've got issues. The grilled chicken sandwich looked like chicken roll. Waitress was good but overworked. All in all not a good Irish Pub experience.,,,
3,Mark F.,"Dublin, Republic of Ireland",1,99,0,1.0,"10/13/2018
            





Updated review","Look I tried to be nice last time. Not this time. So here were my problems with this visit.1) Nine bucks for a bottle of Corona. I mean seriously, do me sideways with a pineapple. I am not sure I have ever paid more.2) Change was 11 ones. I am not going to a freaking strip club but the server's response was ""Well that is all I have in the till"". So no fives, no tens. Yeah, no. Look, if you really only have that then that is garbage, if you're trying for a 2 buck tip you will be disappointed by the zero tip.3) Saturday night. Dead. Really. Ten people in a space for 60. Maybe they know there are places in spitting distances you will pay 6 for a bottle.I do not normally do zeroes,  I understand service industry can be challenging but you guys are taking the piss. Stay away.",,,
4,Chris S.,"Astoria, New York, NY",154,245,9,3.0,7/18/2018,"Nice pub in midtown for after work drinks.  Close to Grand Central, okay prices, different pockets of hangout space, and tvs for all games.    Have never tried the food, but from what I have seen it looks pretty good.",,,
5,Grace G.,"Roseville, CA",53,381,1079,1.0,6/17/2017,"Never again. We walked into this spot around 11pm after our show. We are from California. Not from here. So, if this is a local spot with their own ways of doing anything, we have no clue cuz no one took the time to tell us. We sat down at a bar top. This place was dead. Maybe 7 people in there. Lo.The server running around never said anything to us. The bartender at the bar 2 feet away from us never said anything. We were not greeted at all by anyone. Even if they have a thing where you order at the bar, no one said anything....not even hello. So yeah, that was our visit. We sat around for 20 minutes chilling. No one cared about us at all. We walked out. So, I can't review the food or the drinks....just the service...and it sucks here. From out of town, looking for a cool spot to hang out....go somewhere else.",6,2,1
6,Katie N.,"Tampa, FL",40,27,18,5.0,7/22/2018,"Place is fantastic. The service is great. The atmosphere is so fun and Irish. Love the Ireland vibe. Fish and Chips excellent made with Cod just like in Ireland. The night life is great here. A lot of kind wonderful fun people from Ireland that make you feel at home.  The Irish breakfast is authentic and shipped in from Ireland. A must try. Very cool patio area, summer and winter.",,,
7,Josephine Z.,"Queens, NY",748,432,173,5.0,7/26/2017,"I love this bar purely because it fulfills my childhood dream of being an old timey train conductor. It's storefront is completely unassuming--but when you enter, prepare to experience antique-y train station aesthetics, dim and narrow corridors, seriously cool ambiance---oh yeah, there's also drinks too, I guess. After I eventually got over how cool the inside of this bar was, I was finally able to settle into my post-work drink and meal. The choices are solid, and the food was decent too--just your typical pub fare, but no complaints here. What's also great about this bar, is that there's tons of space--they even have a whole back room which is kinda half inside, half outside. This was slightly unfortunate that day because our chicken tenders and fries were getting par-drenched by the rain while the awning failed to cover us entirely. But otherwise, every aspect of this bar is train-stakingly perfect. Pun intended.",,,
8,Wagner C.,"Mineola, NY",229,15,1,1.0,5/23/2018,"If I could leave less than a 1 star rating I would. The place is nice however the wait staff leaves much to be desired. I've been about 3 times only bc my office is down the block. Every time I've been here I leave aggregated with how long I have to wait to be attended to and once attended to it takes for ever to get your food or beverages. Word to wise if your goin to be coming in to this establishment you should order your drinks 2 at a time and ask for ur bill half way through ur stay bc you'll be waiting at least 15 to get it. In my last visit I sat in the outdoor patio and asked for my bill when I was getting ready to leave after waiting more than 10 minutes I walked right out without paying my bill and without anyone even noticing. Great job guys, keep up the good work.",,1,
9,Michael D.,"Manhattan, NY",0,6,6,1.0,8/23/2018,"This is a nice place and has a great outdoor area. But someone really needs to work on fixing the service here. I have only found one decent bartender, but unfortunately he gets off around 8. I recommend leaving at the same time, because you may be waiting till he comes beck before getting served.",,,
10,Pamela K.,"New York, NY",249,279,190,4.0,1/6/2017,"I see the 3 star rating on this place, but I'm going to go 4 (and here's why):(1) Spacious: Never hard to find a seat, indoors or outdoors(2) Huge outdoor space (with bar): Where can you find a bar with an outdoor space, let alone a big one, that is open in the summer and closed with heating lamps in the winter(3) Service: Consistently well-staffed so you're never waiting too long for a drink/drink order to be takenCome on, people. It is HARD to find a bar you can count on, that isn't a total sardine-fest or that doesn't have a bar line so long it makes your eyeballs want to fall out.Drafts are $8 (with tax). They also have Magner's cider on tap.Note: Located in the Fitzpatrick Hotel, but Wheeltapper has its own separate entrance (can't miss it).Thanks, Wheeltapper for being a solid spot!",3,1,2
11,Marisa B.,"Portland, ME",36,228,52,2.0,8/2/2017,"Your typical dingy Irish pub. Walked in around 11, sat in a booth that was falling apart. Had to go to the bar to order. It was alright.",1,,
12,Jackie P.,"New York, NY",803,75,252,4.0,8/31/2017,"Got a free ""continental"" breakfast because I'm staying at the Fitzpatrick grand central hotel next door. Very good but be warned that it's just coffee or tea and the option of either yogurt, smoothie, or cereal with 2 pastries and fruit. I expected it to be a continental breakfast buffet style with pancakes, eggs, sausage, etc but it's very small and simple.",,,
13,Eliziebetiano V.,"Brooklyn, NY",282,15,5,5.0,4/1/2018,I love this place! Best fish and chips in town ! Staff is amazing!!!! Can't ask for a better place in midtown east,,,
14,Matt P.,"New York, NY",1243,371,51,3.0,1/6/2017,"Neighboring the iconic Grand Central can either be a good thing or a bad thing. Happy hour can be a hit or miss, depending on the company you keep.Pros: Stumbles' away from all major subway linesCons: Severe overcrowding of older business bros, and quite possibly dadsReserve some space in the back, fireplace and all, way in advance. Cozy and comfortable with ample access to their rear bar, which doesn't attract as many crazies.",,1,
15,Jayleen S.,"Brooklyn, NY",0,1,0,3.0,3/11/2018,"Let's see. A friend and I, after attending an event, and very hungry, saw the Wheeltapper and decided to endeavor. A generic looking pub. Upon walking in around 6:45, we saw that the location was full! We had a drink at the bar and then sat at a table. We were greeted by the sweetest waitress. She had red hair. I can't recall her name, but I would come back just for the impeccable service she offered us. The food was expensive for a pub. $22 for a quinoa salmon salad. A bit high. The waiters seemed rushed and busy for a Sunday. Absolutely swamped. Honestly, I only wrote this review is because I too used to wait tables, and it can be tremendously hard to keep the service at 100%. The red-headed girl did exactly that. Otherwise... this spots is chill. Not amazing but not terrible.",,,
16,J W.,"New York, NY",1,5,0,1.0,"2/5/2018
            





Updated review","UPDATE: This place still blows. Gets super crowded because it is a default for offices in midtown, but it just sucks. Service is just so so bad. They will continue to exist from hotel guests and nearby offices. Don't do it!",,,
17,Robert R.,"Atlanta, GA",51,246,0,5.0,5/29/2017,This pub is attached to/next door to the Fitzpatrick Hotel. This is a great place to get a pint at the end of the night or breakfast in the morning. The staff are very welcoming and the pints are cold.,,,
18,Teagan R.,"New York, NY",186,242,50,4.0,6/13/2017,"Really fun bar in midtown - it's nice because they have an outdoor space (with heaters, weather depending). I've visited the Wheeltapper a few times - before venturing out to CitiField and even on St Pats (while meeting up with a friend in town). They have great happy hour deals and the service is pretty good. Can't say either way regarding the food.",,,
19,Malcolm R.,"Brooklyn, NY",485,165,219,4.0,9/20/2016,"Pretty nice outdoors area (that is almost always crowded near happy hours), decent selection of beers, and better food than you might expect. It's one of the better bar options in the area. A bit more upscale than your average Irish place. The outdoor space includes space heaters and often seem to be a server short of being able to meet the demand - at times you'll be waiting a bit for drinks, but overall it's worth it given alternatives. The inside features cozy wooden walls and there are multiple booths along with bar seating.One great thing they offer is a ""in a hurry"" lunch special that promises to get you in & out in like, 30 minutes or something.",1,,
