,er_cool,er_date,er_freinds,er_funny,er_location,er_name,er_photos,er_rating,er_reviews,er_text,er_useful
0,,10/2/2018,0,,"Brooklyn, Brooklyn, NY",Max M.,3,5.0,1,"Nice little bar with good food and attentive bartenders!Ordered oysters and they were really fresh. Tacos were delicious, made with fresh ingredients and rich in flavor.Ordered Ground to Glass, tasted Mexican to me, sour and sweet with cilli powder, liked it. Also tried the Guv'nor, really loved it! The exotic fragrance brought by cardamom was definitely a highlight!Would love to try the rest of the house cocktails if had a chance.",
1,,9/16/2018,1,,"College Station, TX",Taylor M.,0,4.0,19,"Fun wine, cocktail, and oyster bar. It is very small but has a good, intimate vibe. There is a cute little back courtyard with couches & such. They have a good wine happy hour and excellent service.Definitely a good week-night drink place to unwind after work with a glass of wine.",
2,,7/28/2018,56,,"Manhattan, NY",Leng Leng Y.,141,4.0,23,"Food: I have been here several times. It is my favorite place for happy hour oysters which are one of the freshest oysters I've had (especially for happy hour) and plus they are locally sourced. The pulled pork sliders are also great! TBH the entire happy hour menu is amazing!Drinks: I cannot emphasize how good their drinks are! Happy hour drinks are $7 for such beautifully crafted cocktails--definitely the best bang for your buck! I have had all their cocktails which are exceptional, though my faves are the ground to glass and the guv'nor. Service: Attentive but not overbearing. It was never hard to get their attention and love how they offered extra pita bread for our hummus. Vibe: Casual and chill vibe. Love that this place never gets that crowded and the lighting is dim but not too dark. I also like that they have a nice little patio in the back with a skylight for the nice summer days. Whether it be date night or just chilling with your co-workers/friends, this place will fit any situation!",
3,1,4/6/2018,271,,"New York, NY",Cri C.,1526,5.0,221,"The Summit Bar is really solid. Fantastic cocktails, great bartenders/staff and a welcoming and approachable vibe. Plus a nice area surrounded by other cool places to check out. Even if you do not live in the area it feels like your local. I've brought a lot of friends in here and they, in turn, have become regulars.I've been here many times on Sunday when Warren is working and always have a good time. I have also stopped by weeknights and Saturday nights where discernibly busier. Regardless of the time the bar staff are consistent and so are the cocktails. My favorites are the whiskey based Guvenor and John Lee Hooker cocktails but there are many more to try.They have a number of tasty, bar foody options such as burgers. I lean toward the veggie platter which is great option for non-meat eaters. Definitely worth checking out.",1
4,,9/3/2017,18,,"New York, NY",Brittany N.,100,4.0,80,"Love that their happy hour goes until 8! It's quite a small and intimate place. The staff was really great. My friend had ordered the happy hour sangria and our waitress topped her off because they were on their last container so why not!For food we went for the bruschetta, kale salad, meatballs and a pulled pork sandwich. The meatballs where not my favorite, felt very bready. The sandwich, however, was excellent and quite spicy! Also excellent pickles. I would definitely come back for a drink here. Nice ambiance and a late happy hour.",
5,3,"1/2/2018
            





Updated review",305,,"Vero Beach, FL",Zachary S.,3135,5.0,355,"More than eighty check-ins. I've been coming to The Summit for years, bringing friends and making new ones. When I have a visitor from out of town and want to go to one bar, it's The Summit. It's a bar that works for me on many levels.  As I've said in previous reviews, it is congenial and patronized by some of the nicest people around. The drinks are consistently high quality and delicious. Some are so good, you wind up drinking them too fast. Many cocktail recipes at The Summit were developed  by Greg Seider, and are very different than those found in most cocktail bars. Many are made with agave instead of simple syrup. To the extent that it may matter to you, agave has a lower glycemic index than cane sugar, and is marginally healthier in terms of metabolic and cardiac effects. Some drinks have agave infused with cardamom, cinnamon or rosemary. juices are freshly pressed and some drinks have ground clove or cardamom sprinkled on top along with a garnish of fruit or vegetable. My favorites are The Last Cocktail, The Charmaine Star and The Guv'nor.Happy hour cocktails are $7 (5:30-7:30 weekdays, 4:30-7:30 weekends). Raw bar is half price. I come here for the healthy bar food: tuna tartar on avocado in soy and mirrin sauce (with some mustard oil and wassabi), Veggie patties and the hummus vegetarian platter are must tries. They also now offer a spicy crab roll and sliders. All food is prepared at the bar. On Saturday nights there is a live DJ. But the music is good every night. Unusual playlists and not so loud as to interfere with discussions. I've Shazzamed some really esoteric songs here to add to my playlist. The best part of it all is the lack of any attitude on the part of the bar staff. Some places along Avenue C feel what it's like when you want to get into a club with a velvet rope. The Summit is very welcoming and, I say it again, draws one of the nicest crowds in the city. No hipsters here. They're down the street.",1
6,,12/19/2017,343,,"New York, NY",Erin R.,65,5.0,126,I love this bar. If only it could be picked up and plopped 3 avenues westward. Every cocktail I have tried here has been so delicious and high quality. I also really appreciate that their happy hour is on the weekends as well. Very nice atmosphere inside. Its a great bar to catch up with a friend or bring a date. Hope this place lasts forever!!,
7,,4/11/2018,25,,"New York, NY",Moranda B.,86,5.0,181,I wish leaving emojis as a review was acceptable. The drinks here are on point and the bartenders are all lovely and friendly. The bar snacks/food they provide are all satisfying especially after drinking a bit too much. Love the vibe of this place and will definitely be back.,
8,,6/23/2018,1,,"New York, NY",Jenn M.,4,5.0,12,"I came here with my college alumni group and we had such a blast , we ordered some snacks but what made our stay memorable was our bartender, Chris . He's awesome , he made us some specialty cocktails that weren't on the menu . We'll be coming back just for him ! Thanks so much you truly made our night with your hospitality.",1
9,,1/27/2018,39,,"London, United Kingdom",Kelly D.,91,4.0,82,They may not serve their Moscow Mules in a copper mug but they are still quite tasty! The outdoor space in the back is nice and I love that it's open (it's covered) in Winter plus the happy hour menu was quite good - we enjoyed the buffalo chicken and pork sliders!,1
10,2,9/19/2016,255,2,"New York, NY",Cara B.,932,4.0,382,This place is pretty tiny but its great! If I lived in the area I would make it my local spot!!I went with two friends around 10PM on a Saturday night for a few drinks and appetizers. The place was packed and the atmosphere was great. We found a few seats at the bar and ordered 3 Moscow Mules to start. We took a look at the menu and decided to get the Tuna Tartare and the Pulled Pork Sliders. Both appetizers were delicious! Even the chips that came with the sliders were amazing.I would definitely recommend this place!,2
11,2,9/11/2016,165,,"Manhattan, NY",Cheryl N.,1038,5.0,292,"Great experience here last Thursday night for my birthday. I emailed them about a reservation beforehand and they got back to me quickly. You can reserve ahead for parties of10 or more. At first we had reserved the backyard, but it was so humid so they offered us the back table instead. Both spots are great for mingling. The drinks were superb and HH lasted til 8pm! The watermelon mojito was refreshing. I have to say though, my fave was the Charmaine Star. Shout out to the bartender in the back bar for excellent drinks. This place serves small bites, friends ordered the pork sliders, prosciutto, Mediterranean platter, and the tuna tartare. I have to say the tuna tartare was Amazing. One of the top 5 I have had in the city. My friends and I had a great time and they complimented me on my choice of bars. Special thanks to Shayan for being there when we needed him and making our experience enjoyable and for putting up with the balloon animals :p Great spot for small gatherings and also for date nights!",2
12,,12/9/2016,728,,"Manhattan, NY",Dana H.,1309,4.0,287,Convenient location in east village/alphabet city. Atmosphere is quaint and cozy. Nice for catching up with friends or grabbing a drink for a date. They have a special holiday cocktail that is great and has warm cider in it. Their other cocktails are pretty tasty as well. Price is about $12 per specialty cocktail and $10 for house cocktails. Went on a Tuesday night and wasn't crowded.,
13,,6/19/2018,0,,"Manhattan, NY",Phil O.,0,4.0,16,Great place for a small group and they take reservations. Cocktails are good and happy hour makes it worthwhile. Food isn't bad but to me really a place for drinks,
14,,6/18/2018,69,,"Brooklyn, NY",Dare E.,1,5.0,3,The atmosphere is awesome and the bartenders are friendly and funny.  Great place overall !!!,
15,,6/1/2018,174,,"Brooklyn, NY",Holly C.,1,5.0,8,"Great happy hour cocktails and food! The oyster was fresh and the pulled pork sliders were amazing. The best part was despite how busy it was, the bartenders and servers still did there best to give you the time of day. Definitely would return for great food and great service.",
16,1,11/22/2016,323,2,"Wantagh, NY",Chris T.,122,4.0,344,"In search of a perfect cocktail? Make your way to Summit Bar to treat yourself. The majority of the times I have come here it was for happy hour bc it is simply too good to miss. Happy hour consists of discounted food options, a choice of $7 cocktails, and 1/2 price oysters! Quite the perfect pairing!My favorite cocktail here is the guv'nor which is summit blended whiskey, toasted cardamom infused agave, japanese yuzu juice, and orange juice. Some other favorites are the ground to glass, and the john lee hooker. I can honestly say i've never has a bad drink here.",2
