,er_cool,er_date,er_freinds,er_funny,er_location,er_name,er_photos,er_rating,er_reviews,er_text,er_useful
0,,7/28/2017,366,,"Brooklyn, NY",Josh M.,52,4.0,428,"This is a great spot for a beer and chill.  It can get super crowded on the weekends which can suck if you are in any kind of hurry or want more than one drink at a time.  I recommend ordering more than one at at time.  They have a full bar and the menu is pretty tasty on the weekends. Solid spot in the neighborhood (and there arent too many others this far down).  That said, good spot to start a night.",1
1,1,7/2/2018,144,,"California, MD",Brian M.,168,3.0,113,"I was here about a year ago, was a solid experience.  Big commitment to Juno/Uber/Lyft from Manhattan. Disappointing return.  Hostesses indifferent, felt like I was bothering them to discuss table options as they chatted...ultimately bellying up, the bar staff was arguing, burger was just ""ok"", my guest had vegetarian omelet - but they forgot to add cheese - so they brought out a ramekin of melted cheese on the side after the fact...enough on this review - won't be back.",1
2,3,2/22/2017,632,2,"Fort Lee, NJ",Alex Y.,2497,4.0,473,"Great no frills place to grab some to get the night started. The music was good and noise level was relatively lower than the beer bar next door. Tried ""Grow a Pear"" and it was interesting spicy. Drinks were well priced, although the cocktails were a bit too sweet for my preference. One of the cool thing was that they had not one, but two, functional little CRT TVs on the back of the bar. Brings back memories of how some of us actually had to walk to the TV in order to change channels.",3
3,1,1/22/2017,97,,"Merrick, NY",Joseph T.,40,3.0,1542,"Be aware that The Randolph is right next door to Randolph Beer NOLITA. The Randolph is low key bar. They do not have any beers on tap and only have about five bottles available.Despite the limited beer selection, it was a enjoyable place to hang out. They have a pac-man arcade loaded with lots of other classic games. Plus, it's free to play! The food is great too. I'm not sure where the food came from as it was delivered through the front door. Nevertheless, the pulled chicken empanadas were awesome!",3
4,10,6/21/2016,2988,12,"New York, NY",Monica T.,2024,1.0,221,"THE WAY THAT MY FRIEND AND I WERE FULL ON HARRASED BY THE OWNER. (and who knows if he really even was the owner?!), SERIOUSLY JUST LEFT AN ACRID TASTE IN MY MOUTH....YUCK!!!!!  DISGUSTING STAFF!!!  CRACKED OUT!!Honestly I've never encountered such rude behavior as that from the Spanish bartender and bearded dark haired owner(or so he said he is).  Dramatic much?Went here with my famous older Jewish accountant on a Monday and was rudely thrown out by the shittfaced owner and his vociferous blonde girlfriend who accused us of ordering 4 drinks for the two of us when in actuality they mistakenly heard the two other people order the two other drinks and oddly enough didn't know who to place the drinks with but with us?!  It was an empty bar besides like 8 people total which is what's weirder.....Please bartenders, for the sake of less drama in NYC, stop drinking and getting high/drunk while on the job. I say this as the blonde gf kept repeatedly going behind the bar and bringing back drinks to the bar area for her and her owner BF.It was probly a case of miscommunication but they basically screamed at us to leave for ordering 4 drinks and not wanting all 4, then followed us to Tropical 128 where they proceeded to tell the bartender not to serve us!  Seriously, do you really have that much time on your hands or just have very meaningless lives?! It was just super bizarre because when 2 well to do dressed people in suits and a nice biznas dress come into your establishment looking to spend money on your services, meanwhile upping the atmosphere of this rather divey spot, why would you start a fight, chase us away and run after us-basically bullying us just because you cannot get outta your mindset that perhaps you were wrong and can't admit to it?!  Who does that?!  Those people should really be ashamed of themselves and for all the revenue I'm sure they lose for that hotel bar.  Not the smartest staff choices apparently.....Never ever have I been treated so poorly and it really just goes to show you why I've never had the inclination to step into such a low brow type of place with terrible people running it.  Bad energy!  This spot totally brings down the neighborhood and is clearly the weakest link of all the places on Broome st.",33
5,47,5/11/2016,497,35,"New York, NY",Eric J.,1710,3.0,923,"For a divey bar, I'm a little confused as to what they're trying to push here. They seem to want you to try their cocktails, and they look great in the Yelp pictures, but then look very different and are far more watered down when you actually go there. Hmmm.Came here late late night, after Randolph Beer next door had closed down. We were all forced to move house to Randolph at Broome, which sort of slowed things down, I guess. Not the worst thing, but it was clear that we would have preferred to stay at Randolph Beer. Anyways, we had a decent time since we were all mostly decently sauced, so I can't complain too much. I actually did like the space a lot, but there just happened to be more of it at Randolph Beer. The nice thing is that they do have outdoor space, so it should be a pretty decent place to hang out when the weather is nice.We got a couple cocktails, although I can't quite remember what they were. I only remember that they were packed with ice, sort of watered down, and that they cost $15. I can kinda understand that it was the end of the night, but that's pretty rough, and doesn't compel me to try the cocktails during a normal hour. Didn't try the food, although the kitchen seems to be open pretty late. Food menu seems to be right on par with Randolph Beer, with mostly salads, sandwiches, burgers, and general pub fare.Service was pretty attentive and friendly throughout, although again, didn't appreciate the watering down of the drinks. However, I did like the 2 big ice water dispensers at each end of the bar, which made it easy to keep (relatively) hydrated throughout the rest of the night, without needing to ask the bartender for a glass. More bars should have that, honestly. Prices are easily on the expensive side for cocktails and beers, but the food seems like a relatively good value. Perhaps I need to try it during happy hour, when the drinks are less expensive. But for now, I'll stick to Randolph Beer next door for my happy hour needs.",54
6,4,12/10/2015,2951,,"Princeton, NJ",Giang-Tien M.,4252,5.0,1164,The sweet cocktails with fresh fruits were excellent. Two bartenders promptly served them.The noise level was adequate to carry a conversation.The tiny bathroom was clean.,3
7,,8/24/2017,156,,"San Francisco, CA",Matt B.,1,5.0,11,"Very cool little bar in the city. Went mid week, very cool bartender. Hooked us up with a shot and beer special. Also suggested a few other cool places around. Definitely a great experience for a couple tourists just wandering around!",
8,,9/2/2015,491,1,"Brooklyn, NY",Stephanie F.,8,4.0,452,"I had a sour beer here and the warm quinoa and kale salad. Let me preface this by saying I don't generally like quinoa or kale. But this warm quinoa and kale salad topped with grilled shrimp was a banger! I ate about half of it before I was stuffed and had to ask for it to be packed. The shrimp was grilled really nicely, but the quinoa was the real winner here. It was soft, and cooked in an oil with spices that made it say ""Hello!!"" in my mouth. My friends ordered the ribs, and each plate came with a heaping pile. The ribs were super soft and the meat fell right off the bone. The ribs had a sticky glaze to each of them too. All in all, a solid dish. Prices were a bit high but what else can you expect out of north Chinatown? Great spot, wide range of drink selection and good food. What a simple concept executed well!",2
9,,12/16/2016,6,,"Munich, Germany",David Z.,4,5.0,20,"Past 01:00. Not too busy. Order an Old Fashioned. Guy behind the bar washes hands diligently, carves an ice cube from a block, trims it further until it just fits in glass, and commences building the drink.How fucking stellar is that for a pub-ish place. Five stars, man, well deserved, for that attitude. Of course the drink wasn't perfect. But who cares?!",
