,er_cool,er_date,er_freinds,er_funny,er_location,er_name,er_photos,er_rating,er_reviews,er_text,er_useful
0,2,10/24/2018,198,1,"San Francisco, CA",Mandi W.,1087,4.0,576,"Love me a good speakeasy and they definitely delivered!Through a barber shop, it's dark and moody with a laid back vibe. Music was perfect as well, we all were commenting on how perfect it was for the space. As for the drinks, I messed up and ordered the Smoke + Dagger not realizing how spicy the Anchor Reyes Verde actually was. Combined with the ginger, it was disgusting lol. Basically sucked it down asap so I could move on to something else. ‍Otherwise, no problems and staff were helpful and friendly, and clean bathrooms.Give this joint a shot, but if you don't know what an ingredient is, definitely look it up lol.",1
1,,6/1/2018,3,,"Kearny, NJ",Alvin Z.,8,1.0,9,"This bar is poorly managed. I waited in line for 30 minutes to only be rejected by a women bouncer with black hair and dark skin color on June 2nd at 1am (the date and time is specified to single out the person working out front). She told us we had to ""leave the line"" because ""we're clearing out the line"", ""this bar is too packed"". We were the only ones to be told to leave the line..I felt discriminated, not sure if it was because of my race or gender, but a group of guys behind us went in shortly after. This review isn't a a review to sway anyone from this bar - it's purpose is to inform the consumers and to spend money at an establishment that purposeful.Also, a male bouncer (worked at the same date and time) with dark skin (who claims to not know the owner) claimed I was discriminated because of my race (he was clueless of the situation and this was the first thing he brought up). He also mentioned that ""new york bar tends to pick and choose who they let in"".Hopefully this doesn't happen to you..",3
2,,11/10/2018,4,,"San Francisco, CA",Nisha D.,0,1.0,14,"UNACCEPTABLE AND UNFAIR. My friends and I came to blind barber at 12:30 on a Saturday night. There was only a small line and we decided to wait in 30 degree weather. There was a group of about 10 white blonde females in front of us. We all had to wait for a bit but then the group in front of us got in and we were next. We said we had a group of 9 (half girls half guys) and they refused to let us in. They used capacity as an excuse. We said we're more than happy to wait in line and have one to two of us go in as capacity opens up. We are all adults who understand how capacity works. As we watched many people come out of the bar, they let certain people in but not us. We asked why and they said they didn't feel comfortable. We asked if they thought we were drunk and they said no..because we weren't. But they never gave us an answer - they simply just didn't let us in. They wouldn't let us wait in line and continued to let others behind us in. We will never be going back and you shouldn't either if you don't want to deal with absolute idiocracy. It is crowded and they are just looking for an excuse for people to buy tables which btw don't exist (there's hardly room to move inside) - I know because I've been like 5 times. So it's basically a scam and there are a 100 other places to go in NY as they said in their own words - ""there are so many other bars to go to just like ours"". DON'T WASTE YOUR TIME.",
3,,11/9/2018,1,,"Turlock, CA",Zara L.,0,1.0,2,"The name is self explanatory, aka don't go. I felt like I was at an awful high school basement party. I'd like to say I love most (all) bars, but this is not the case. The music was weird, and the people were even weirder. If you've never been to New York, are from a tech start up,  and are looking to have an ""authentic"" city slicker experience then sure, this is your place. Also, lets chat music. The music was strictly 80s weird techno except for the one time they played ""Thank You Next"" by Ariana Grande and ""Uptown Funk"" by Bruno. If you wanna see losers dancing and convulsing this is your place. Catch me at Murray Hill.",
4,,11/5/2018,0,,"New York, NY",Sammy J.,0,5.0,8,I have been to BB twice now and had a cut from Justin and Alex and both were awesome! Im definitely a regular now.,
5,,10/26/2018,213,,"New York, NY",Ariel R.,6,3.0,89,"Walked in early and they had us wait around until they opened up. When they did open up, I ordered a cocktail expecting it to be part of the happy hour special price. When the check arrived I was disappointed to see it was full cost. Have no idea why and felt bad asking cause they weren't kind enough to explain anything to us. Didn't feel like other speakeasies I've been to where service is held to a higher standard than a typical bar. My drink was good: I ordered the Batman, but this too, wasn't as amazing as most other speakeasy cocktails I've had, where I've said ""wow, this is phenomenal.""",
6,,10/27/2018,18,,"Alamo, CA",Blaine J.,7,4.0,52,"The company is amazing. Products were awesome and the drink factor is always nice. I give the company 5 stars for everything they are about and how management strives to make you happy while being reasonable. 3 stars for my technician...it wasn't bad but it wasn't great. The guy behind the chair was funny, sharp, and quick but a bit rough to the touch with me. Pretty decent result after I had him adjust it a little before I left. The guy said he had been doing hair for awhile and I believe in his talent, but I personally think he could use more professional training. Overall I'd recommend this place for sure. As I always say though, it always comes down to the person behind the chair not the name on the wall.",
7,8,7/22/2017,429,5,"Queens, New York, NY",Gatangalie S.,2949,4.0,286,"Now this is the definition of a speakeasy bar. Basically, it's a barber shop that you have to go through before you get to the bar. How freaking cool is that?! Such a hidden place that's chilled out and awesome to hang with friends on a night out in the village. Not super fancy, but very spacious with a huge bar and lots of seats and historic pictures. Gotta love it!We missed the happy hour unfortunately cause we arrived a little after 8ish on a Thursday evening.They had some fancy cocktail for $14 which is pretty decent for the area. I stayed neutral and had two glasses of wine - cost around $7/each.The music was really happening, I didn't find it that loud, but definitely can have a discussion and manage to do some dance moves in between.Overall great speakeasy bar!",7
8,1,10/5/2018,20,,"Hingham, MA",Andy K.,0,5.0,3,Best haircuts I've ever received. Hands down.,
9,,10/16/2018,42,,"Brooklyn, NY",Robert B.,2,5.0,6,"I have gone to so many shops looking for a nice combination of a good cut and good company. So happy I found blind barber. I was going to the Williamsburg location which unfortunately has closed, but that didn't stop me from following Jeremy to the location on 10th street. Awesome atmosphere and great cuts. Money well spent every time.",
