,er_cool,er_date,er_freinds,er_funny,er_location,er_name,er_photos,er_rating,er_reviews,er_text,er_useful
0,1,11/10/2018,83,,"Covina, CA",Maya H.,193,5.0,159,"Oh Ilili, I can write poetry books and songs about you. I love you, I love you ,I love you! I am Lebanese born and raised. When I visit a new city  I look for a good Lebanese place to try. I came to Ilili after seeing all the good reviews and decided to try it out. First of all, don't order the entrees, they're not bad but they're not the best thing here and you can probably have the same ones somewhere else for cheaper. The best thing here is their mezza or appetizers. They have so many options to try from, there really is no need to get an entree. The mezza is what us Lebanese people love to eat, many reasons for that, one is because we love to enjoy multiple dishes and Lebanese mezza is pretty amazing in general. What the chefs at Ilili did was take the traditional Lebanese Mezza and elevate it to a much higher level with a twist. The word Ilili means ""tell me"" in Lebanese Arabic and let me tell you something, when you have the food here your taste buds will dance in harmony and you will be in a happy state of mind you forget the world around you exists. I am not exaggerating. My favorite Mezza dishes were the Atayef with the veal bacon, the duck shawarma, the kibbeh nayyeh and falafel. You have to, absolutely must get at least these four dishes. I will be coming back to Ilili every time I am in New York, I miss it so much I can't take it.",2
1,4,11/14/2018,1167,1,"New York, NY",Joy G.,153,4.0,786,"ilili falls into one of those categories of NYC restaurants where you should definitely go as a group so you try out more of the menu, particularly the hot/cold small dishes. The space feels less like the Nomad and more like somewhere in midtown with a cavernous dining room and more than enough space to move your chair back and listen to the person sitting next to you. This would be good for a family reunion or a work dinner - dates are better suited to the cute bar off to the side of the dining room. I loved everything I ate but definitely some more than others:- The Phoenician fries. Definitely the highlight of the meal. They sprinkled some kind of herb salt mix on top and I couldn't stop eating them. I love when fries are made extra crispy and slightly burnt, and these were that perfect level of crunchiness. - The octopus. I can't skip it if I see octopus on the menu, just because I'm curious as to how well a place does it. Having never made it before, it seems finicky to get just right. ilili's version came with squash and onion, and was so tender it tasted like a better chicken. - Brussels sprouts with grapes, fig jam, and yogurt. A unique combination that I'll try out for Thanksgiving this year. The only ingredient I didn't love so much with this were the walnuts - I'd swap almonds or pine nuts to add the crunch. - Beef shawarma. They came wrapped individually like ice cream cones so you didn't get your hands messy with the oil slicking out. Pretty ingenious. I was so stuffed by this time but I still managed a few bites - the tender beef with tahini definitely stands out. The other things we tried (but I would skip next time): - Cauliflower. Tasty but the actual cauliflower piece was very, very small for $16. Most of the dish consisted of the tahini labne at the bottom. - Hummus with jalapeño. It pains me to write this but it was just alright. The jalapeño tended to overwhelm the subtler flavor of the hummus and, again, for a $10 dish, a lot of it was just the olive oil drizzled on top. - Beef fried kibbeh. Should have eaten this as soon as it arrived but I left my particular piece sitting for too long and the whole thing was too dry. - The side of pita. The bread is always the silent killer of $$$-$$$$ restaurants - it's something that's easily overlooked but I do think it's a marker for how much a restaurant might pay attention to the smaller details. ilili's pita were very dry and stale. Our server was outstanding and I did really appreciate how fast our food came out. I want to try their fast-casual sister version, ilili Box.",7
2,,11/5/2018,269,,"San Francisco, CA",Pamela B.,3,2.0,16,"Expensive and mediocre. We had a reservation at 10pm and they didn't seat us until 10:20pm on a Friday night. I also heard other patrons upset that they weren't being seated at their reservation times. We ordered the hummus, octopus, cauliflower, and duck schwarma. The hummus was good but the rest was forgettable. The octopus smelled fishy and lacked acid and the duck schwarma was really dry. They got one extra star for the good service. Wouldn't recommend this restaurant.",
3,,11/17/2018,144,,"Hoboken, NJ",Kimberly M.,9,2.0,290,"A little hyped, overpriced, and underwhelming.  Most dishes are small.  Though the octopus was very good, what we tried from the rest of the menu was mediocre.  The service could have been better for this type of restaurant.  If this spot is on your list, it can probably be skipped.",1
4,5,9/6/2018,918,1,"Manhattan, NY",Darya S.,818,4.0,1900,"I came here for an event hosted by 6plus. The food was fantastic and the staff was very hospitable and attentive. The decor in the room upstairs was so sultry and Mediterranean! We got to sit on pillows on the ground or on the seats by the wall. It was just a lovely vibe that came alive with all of the people bustling throughout. I knew I had entered a special place. Food was great. I'd recommend the felafel (it's square and crunchy!), shwarma, chicken shish taouk, moussaka, and fattoush. Their food is so fresh, exotic, and delicious! Dessert was a letdown actually. There were candy bars, pistachio mousse thing, lemon semi-freddo, a very dry brownie, and baklava. If you must get dessert, I'd go for the last one.Can't wait to go back for a sit-down meal! Walking through, I couldn't help but notice the huge, inviting, sexy space that would be ideal for a group of people looking to get dressed up and wined and dined. Ilili is definitely a diamond in the Flatiron rough.",3
5,,9/24/2018,170,,"Richmond, VA",Suhan K.,305,3.0,141,"Came here last night with the gf as she loves Mediterranean food. Excited perusing the menu and reading reviews on yelp however the food is not anything special and the wait to place an order and for the food to come out was long and ridiculous. No update on the status of our food, took 10 mins to even place the order for our food but accommodating us as we were late to our reservation was nice and timely so overall 3 Stars.The food was good but for the amount your paying you expect a little more creativity and flavor in the food. Starting off with the mouhamara, it was ok. Proportions were good but a bit dry. Flavor was slightly lacking, ours maybe were made with a tad too many walnuts and was not put together to well. The warm eggplant was good. Texture cooked evenly, not too salty pared well with the scallions and molasses. The duck shawarma was good too. Wish they were wrapped in pita that was thinner to enjoy all the other flavors and sort of took away from the fish and lastly the lamb chops were a bit greasy. Cooked to a well medium rare, wish the cuts of meat weren't like 35% fat with more meat.  Overall the food was ok in relation to the prices...wish the service made up for it a bit because you do go to dine at these places to enjoy your experience but that wasn't there either. I wish I remembered the name of the gentlemen who did help our server out with taking our food orders and refilling our drinks. Otherwise our server was out of sight after the food was brought out.",
6,1,10/27/2018,85,1,"Ronkonkoma, NY",Esther L.,408,4.0,148,This is the kind of place you envision when you're younger as a spot that you'll go to when you've made it in some sort of way. This bar/restaurant is very chic and when you're here you feel like you've done something right in your life. Take someone here if you're looking to impress.,1
7,2,10/21/2018,155,,"Central Islip, NY",Nina C.,983,4.0,441,"I love everything about this atmosphere.  The restaurant has such a classy but yet laid back vibe to it.  The food is incredible.  It's such a nice spot to have drinks with friends where you can lounge on the couches or at the bar or sit at tables and eat.  I thought the bathrooms were different yet weird.  You walk into a big room and they have sliding doors to a tiny stall that have a sink and toilet inside and men and women are both waiting to use.  It's kinda awkward.  The downfall, those prices though --- YIKES!",4
8,1,8/19/2018,157,,"Manhattan, NY",Mary C.,591,3.0,275,"Ilili was a 3.5. The service is impeccable but I thought the food was just average, and there was nothing about the restaurant that made me want to go back for.My dining partner and I split the jalapeño hummus, octopus salad, and fries. For entrees, he ordered lamb and I ordered the chicken.The hummus had too much olive oil in it that made my stomach feel sick afterwards. The pita bread with the hummus was delicious though -- fluffy, warm, and soft. The fries were also pretty good. The octopus salad was whatever; it tasted flavorless. The chicken entree also tasted bland and burnt. I think the lamb was a little better.Overall, I had high expectations, and while the service was amazing, the food didn't deliver.",4
9,1,8/15/2018,226,1,"Manhattan, NY",Laura S.,698,5.0,387,"Came here for restaurant week on a double date and was very happy with the menu! Sometimes nice restaurants don't always put out their best dishes for restaurant week, but everything we ate was delicious.The number one plus was that each person got to choose 2 appetizers. WINNING. Between 4 people we were able to try 8 appetizers! They had falafel, mousaka, hummus, salad, everything! It was a great variety of apps and all of them were great.3 people got the lamp chops and I got the salmon. All very tasty and well cooked. As for dessert, I got the cheesecake which was kind of a deconstructed cheesecake, but nonetheless delicious. The chocolate candy bar was also very rich and good.The poison margarita was also a big hit! Restaurant was huge and had a great ambiance.",2
10,,10/28/2018,44,,"Brooklyn, NY",Tamara E.,12,5.0,22,"Excellent food, drinks and service. Cant wait to revisit. Very nice classy venue great for celebrations",
11,,8/25/2018,138,,"Westwood, NJ",Wednesday A.,46,5.0,66,I should give you one star because you probably made me gain about 5 pounds the food was sooooo good. It's been a while since I have Lebanese food (like 5 years omg so sad) this place really Delivered. My favorites: Chicken taouk with sumac garlic sauce Fresh baked bread Hummus with pine nuts The wildfire drink Also although I didn't try it the mousakka I hear from my mother in law that it was amazing and star of her dinner.,
12,,8/17/2018,177,,"Manhattan, NY",Sherry J.,573,3.0,136,"My friends and I came for restaurant week. Our waiter seated us and then explained how the food would be coming out as it was ready. We expected each course to come out much faster but it was pretty standard timing. I guess it was because the restaurant was busy. We actually had to ask the waiter to check on our entrees because a while had passed. Dishes:(Pita bread for the table)Appetizers:- Hommus (kind of sour)- Fattoush (so sour my friend could not finish her dish, comes with sumac lemon vinaigrette)- Steak tartare (does not come in pieces, my friend described the texture as 'like eating butter', I definitely wouldn't get this again)- Moussaka (sort of like eating eggplant that was cooked in a pasta sauce)- Falafel (this was really good! Probably the best appetizer)- Arnabeet Mekle (the cauliflower was great, the tahini was really good but a little sour)- Tuna Tartare (probably the second best appetizer)Mains:- Salmon a La Plancha (really good, the salmon was soft and delicate, the skin was crunchy and my favourite part)- Diver Scallops (very soft and tasty)- Lamp Chops (very well done, not tough at all, definitely try it!)Desserts:- Ilili Candy Bar (my favourite part of the meal. It's very sweet!)- Labne Cheesecake (the cucumber sherbet was not bad but not great either)What I noticed is that most of the appetizers were sour in some way. This is not something I particularly liked.The dishes got better as they progressed; I didn't like my appetizer, my main was ok and the dessert was the best. The service was really great. Our water glasses were never empty, our leftovers were packed quickly and everyone was friendly.",
