,er_name,er_location,er_freinds,er_reviews,er_photos,er_rating,er_date,er_text,er_useful,er_funny,er_cool
0,Mars G.,"Miami, FL",54,19,14,5.0,5/18/2018,"My favorite ""To Go"" when ""On The Run!""I love the Veggie Delight wrap with/add Chicken, get it pressed Yum. And the yummiest Smoked Salmon Sandwich ever! Always fresh ingredients!!! Friendly staff!",1,,
1,Wilma G.,"Queens, Queens, NY",18,8,2,1.0,11/2/2018,"I placed an order over the phone for an egg salad sandwich, chips and a pineapple salad.  The delivery guy comes 30 minutes later (meanwhile, I'm a block away).  I look at my receipt and see that I was over charged.  I call the place, and I'm told that they charge an extra dollar for fruit when it's a delivery, plus another dollar for the actual delivery.  Who chargers an extra dollar to deliver fruit???? They send the wrong chips and refused and exchange them.  Never will I ever order from them again!!!",,,
2,Melissa S.,"Manhattan, NY",244,545,8,5.0,8/31/2018,"This is a small shop that is kind of like a deli but it has everything. I specifically went here for a healthy affordable chopped salad. I was quite impressed with the bountiful fresh options for toppings and the reasonable prices (about $10 for a salad with protein). It was affordable, service was efficient, and the salad was quite tasty. My only complaint is that the salad dressing lacked flavor and seemed watered down (I had the sesame ginger) but hopefully it was just that salad dressing and the others are good! I'll be sure to ask for a sample of the dressing next time. They also had smoothies, sandwiches, hot food, pasta, etc. and really anything you would truly want!",1,,
3,Bev C.,"Manhattan, NY",0,8,0,5.0,8/26/2018,"PROBABLY THE BEST BREAKFAST FOOD I REMEMBER HAVING IN A WHILE!! I ordered an egg & cheddar on a hero w/ black pepper & butter & they added ketchup (didn't ask for that) but it was a perfect touch & it was delicious!! I also had 2 small chocolate chip cookies (DELICIOUS!) The cookies tasted homemade,I loved them. My absolute fave part of my meal was the blueberry muffin. I asked for it to be warmed up & the guy also cut in half & put butter on it...YUMMMY!! The muffin tasted like they make it from scratch,I loved it. I will DEFINITELY BE BACK :)))",,,
4,Andrew M.,"Manhattan, NY",2,46,154,5.0,12/1/2017,"The smoked salmon sandwich here are great. It's huge for one person. It's yummy yummy, in my tummy. Never had any problem they overcharging me. I love food! Say no more.",,,
5,Blaire D.,"New York, NY",157,105,16,5.0,12/27/2017,"I'm not too sure why this establishment has only 2.5 stars. I come here for lunch quite frequently. The staff is ALWAYS very friendly and recognize me each time I go. They know how to deal with a lunch time rush, while being courteous and patient with their customers.The food is always extremely fresh and I appreciate their variety of food. Also, their prices are very fair. There's many places in the area that will overcharge you for a sandwich, but here you get fresh food and decent prices. Also, I really like that the restaurant is nice and big and there are plenty of places to sit. Overall, we enjoy coming here quite often, and truly feel that this place definitely beats the competition in the area.",1,,
6,Eve L.,"Brooklyn, NY",6,8,0,3.0,6/22/2018,"The service has declined here within the last year. I dropped in while waiting for a movie and ordered a turkey burger with blue cheese -- an order I've gotten plenty of times before. The cook made my food while my husband waited and I sat. The cook never asked me or my husband if I wanted anything additional on the burger. Not only did he not give me the blue cheese but when I questioned him he said they don't have any-- something that should have been expressed when I placed the order. The cook instead gave me American cheese, tomatoes, lettuce ketchup AND mayo. None of which I wanted and walked away into the back while I was complaining about it. Extremely poor customer and I'll definitely be going to the Le Pain Quotidien across the street instead.",,,
7,Kashmira R.,"Brooklyn, NY",0,2,0,4.0,6/19/2018,"Solid 4 stars. Ordered early to arrive for lunch. Came right on time. Delicious salad - with kale, chicken, broccoli, scallions, chickpea and blue cheese + chipotle dressing. Really delicious combo, fresh and good portion (small) great for lunch size. Came with yummy multigrain bread (no butter). great option for $12 plus a tip. They don't charge delivery which is nice. The same salad at a big box place would be close to 15 plus tip. Will order again. Delicious and healthy!",,,
8,Lana S.,"New York, NY",13,75,501,4.0,6/1/2017,"A cafe with options! Pasta station, sandwiches and wraps, breakfast, and my favorite chopped salad bar. I got a chopped salad with 4 veggie toppings, shrimp, cheese and dressing for just under $10. Not the cheapest but more reasonable than some of the larger salad chains in the city. Very good! I also got pastries and chips--all good. I'm giving a four for service; my salad chef was attentive, but not very patient. He handed me my salad before asking me if I wanted my salad chopped and with dressing. I had to ask another employee to get me dressing on the side.",,,
9,Theresa L.,"Manhattan, NY",0,11,0,4.0,6/24/2018,Ordered breakfast from here for the first time today. It was delightfully surprising. Was expecting typical deli/bodega style food but Everything tasted fresh and delicious. So so good! Will order from here again.,,,
10,Cherylle C.,"Brooklyn, NY",68,6,3,5.0,1/30/2018,Good spot in the neighborhood. I occasionally order breakfast from them at work. Lunch is also pretty good. I always get the penne a la vodka with shrimp & its surprisingly delicious. The people who deliver are also nice.,,,
11,Nouran I.,"Clifton, NJ",30,18,11,5.0,1/19/2017,"~This place is so cute! It has upstairs seating with a nice view!-Many choices to choose from, for breakfast and lunch. The food is not expensive and it's good portions! Me and my sister got 2 small coffees, 2 bagels with cream cheese, and muffin for about $11. Staff was really nice as well.",,,
12,Millie B.,"New York, NY",25,2,0,5.0,1/18/2018,"Green Cafe is my go-to place when I'm in the office. They have great salads, hot food selection and really good sandwiches.  They never made a mistake on my order and girl over the phone is always super nice.",,,
13,Erica F.,"LONG ISLAND CITY, NY",595,524,3517,3.0,2/16/2017,"everything around this neighborhood a bit pricey for my taste and salary, specially for the quality of the food and the overall experience of the locations. the other day heard about their lunch special of burger and fried with a can of soda for $7.99 therefore today i went to check it out. i can safely say that this will be my spot for lunch from now on in this area, the deal was great, i picked the soda i wanted (was not like a free coke like Chinese restaurant, i could pick other stuff which made me happy about that) but the best of all is that i didn't need to find a public space to eat my lunch, they have an sitting area upstairs with TV and everything! i was pretty happy about that, even found out that on the second floor they also have a pizza maker and a juice bar, so if you want to carb load or be on the juicing diet, they got a little bit for everyone.",2,,1
14,I. R.,"New York, NY",0,52,0,1.0,7/25/2017,"A total crapshoot. I've had good, cheap breakfast sandwiches, and a fine bagel. But both times I ordered a sandwich, they were really bad. The panini had tomatoes that had gone bad, making the whole thing inedible. A pretty simple veggie sandwich had an avocado that had gone bad. I just don't think they make (or throw out) the sandwiches in that window display on a regular basis. Stick to the prepared food, maybe.",,,
