,er_cool,er_date,er_freinds,er_funny,er_location,er_name,er_photos,er_rating,er_reviews,er_text,er_useful
0,1,10/27/2018,657,1,"New York, NY",Alex S.,70,5.0,17,"This is for all my fellow Yelpers that wish they could review Doc's. Essence of a dive bar with a pool table that actually has a wait and deer hunter which takes many of my dollars. All in all exactly what you want in a bar, I know this is a spot me and my old colleagues went to more than frequently. As they can't write reviews this ones for them #YelpsGo2!",
1,4,5/19/2018,862,1,"Las Vegas, NV",Marissa Z.,2025,5.0,1258,I actually had a really nice time in this place I was waiting for a friend so we could go dance to some 80s music at the nearby pier amid club that I've always loved since I was about 20 years old I came into this bar and it was packed with a lot of 30 something-year-old'sThe drinks were very cheap five dollars for a beer and they were playing music which was all 80s I think the theme of the night was 1984 and it was very crowded and very alive on a Friday evening they had very cool bartenders and they were very fast I left a good tip this is a good place if you are solo because there are a lot of people there just willing to talk to you,1
2,,"11/17/2018
            





Updated review",277,1,"Plano, TX",todd s.,0,5.0,4,On Further Review.. We came back and after a year later JoAnna remembered us. We laughed about the review And she is super cool as always.   So forget my original drunken review.  Lol,1
3,,3/20/2018,3,2,"New York, NY",Tessie V.,149,3.0,296,"This place is trash. If someone suggest you come here, you should probably understand that person dislikes you.Ok. Let me be a little more fair-- Doc's is a pure dive. It's about the only bar in the EV that hasn't been taken over by NYU transplants and MillennialsProbably because it's disgusting and the barkeeps make sure to keep it that way.If you're into that-- it's the place for you.Bartenders are jerks to everyone but regulars -- but also hey that's a dive bar.",1
4,4,12/21/2017,148,2,"Melville, NY",Andrew C.,2321,4.0,638,"This was an accidental encounter and all my apologies to any one who might have wondered where I was late last night. Yes, this is truly a dive bar, but a good one. Some people are calling it a Texas roadhouse style bar. Call it what you want, but this was for me a wrong turn and an interesting experience.  If you are a lover of country music, you might just get lucky and get what you like or just get great price drinks or beers to wash down a bad day. I need to come back at least one more time and determine if I short change my review by one star.",5
5,,10/15/2018,0,,"Austin, TX",Cortney J.,0,5.0,9,"Outstanding service from Amy, she was very attentive and sweet as pie! Food and drinks were delicious.. Love their homemade dressings!",
6,,3/27/2018,230,,"Los Angeles, CA",Sara S.,125,5.0,292,"One of my favorite NY dives! Cheap, good service. Standard bar drinks. They let you play drinking games in here. Met some cool people here too! Great to go to with friends!",
7,1,12/14/2017,667,2,"New York, NY",Everest W.,147,5.0,17,"I'm no holy man but I guess I could call this place church.Doc's is about as good as it gets. Surprisingly it is not just the $3 twisted tea's that draw me to this gem of a watering hole. It's everything. Where to begin. Usually the night starts out praying a corner table is open. I really can't get comfortable unless I am sitting there. Sometimes it opens up quickly but if not I barter with whoever has claimed it so it is never an issue. Once that is resolved, I make my way to the bar where the twisted tea flows like Poland Spring in Poland. This is where the night starts to take off. If no one is playing Buck Hunter, you better believe I take advantage of that and win every single time because come on, I am a Buck Hunter legend and have not faced a worthy challenger. If I am feeling risky I then try and get involved with some pool, partnering up with one of the boys and trying to take down whoever holds the table. I am bit more humble with my pool game and will begrudgingly admit I have lost two games ever. In between all this my challis is filled with twisted tea while mixing in shots of Jameson. Sometimes me and the boys post up for a couple hours, other times we stay till they pull down the iron gates. No matter what, I always leave smiling and happy I chose Doc's! Amen!",2
8,,3/13/2018,169,,"Queens, NY",Felicia M.,227,4.0,228,"A country dive bar with a jukebox, cheap drinks, a pool table, bar and some table seating, and random decorations all over. Perfect spot to get lost in the music and throw back one too many cold ones.",
9,,5/20/2018,104,,"Pembroke Pines, FL",Chris R.,1,5.0,141,The place is a trashbag. And that's exactly what I was looking for in a bar.,
10,1,12/23/2017,0,1,"Brooklyn, NY",Chris Z.,0,1.0,2,"I've been a dive bar guy for twenty years plus in nyc What makes dive bars awesome is usually the people watching, and interacting with the interesting people behind the bar itself. Unfortunately, the people who work at this bar may be the rudest degenerates I've ever come across. Especially for folks who work in the hospitality industry where HOW you treat people directly impacts your livelihood and repeats clients. Sadly, Doc Holidays will forever be removed from the list of  dive bars my group of friends will frequent in the east village. There are plenty of other bars in the neighborhood that would gladly serve prople without yelling at patrons or treating guests like sh*!",3
11,2,10/17/2016,1243,2,"New York, NY",Matt P.,51,3.0,371,"Perhaps the diviest of dives on the east side, which ultimately gives this place much old-school credibility. And by old-school, I mean that 90's generation, cellphone-free, EDM-less douchery.A local landmark of sorts, through and through. Salt of the earth vibes all around. Split a pitcher with your crew and feverishly scroll through some jukebox jams.",2
12,,12/17/2017,2,1,"New York, NY",Jonathan E.,15,2.0,17,"So, this bar is fantastic. But it also really sucks. Two examples. This poor kid decided to stand on his table during a super happy song and time of the night and we watched the bouncer approach him and instead of asking him to get down... he grabbed him by the sweater and ripped him (and his sweater) down and shoved him outside. All of our jaws dropped as yes it was hilarious but really it was incredibly outrageously shitty of a move. Kid was just trying to hang. Then the bartender went legit off at me because my girlfriend asked for my bill which had my name. She honestly went off as if it was some global rule that you can't ask for someone else's check. Bottom line is this place has too many rules. Let people drink and have fun, slow your roll Doc, slow your roll.",1
13,,8/8/2017,369,,"Newark, NJ",Jacquelyn G.,24,5.0,28,"This really is a hidden gem. I was at a few shops nearby and was walking around avenue A. I saw the outside of this place and knew it was a good place to grab a couple of drinks. When I walked in, I was immediately greeted by Makeda and felt so welcome. I stayed for a few hours enjoying good company, good drinks and good music. The juke box is a bit dated but that's what makes it perfect. A lot of the music is older which is my absolute favorite. Definitely another favorite to add to my short list.",
14,1,4/23/2017,0,,"Manhattan, New York, NY",Brian M.,0,1.0,4,Lovely bar and a great crowd I'm a big fan of the pool table etc and have had a few great night in here. In on Saturday night and the sourness of the 2 female bartenders made me get up and leave and I won't be going back.. I work in the industry and I felt like not tipping them. Not sure if they realise ppl can actually see them rolling their eyes etc.,2
15,,10/24/2017,12,1,"East Rockaway, NY",Aimee H.,0,1.0,93,"The bouncer at the door seems to think he works for some high end club, not a dive bar. In any case, the real problem was that they are breaking ADA laws by requiring paperwork for service dogs.... or ""licenses"" as the bouncer called them. I totally get that people are trying to pass off pets as service dogs and pets are not allowed in the bar. I'm fine with that. However, breaking the law is still not acceptable.",1
16,,6/3/2017,42,,"Linden, NJ",Leanne S.,130,4.0,75,I stumbled upon this on place while waiting for a table at a near by restaurant. It is a true dive bar. The decor inside is awesome. There's a pool table but also booths if you want to sit for a more relaxed night. The music was on point. And you can't really mess up beer so I have to say overall I was more than satisfied.,
