,er_name,er_location,er_freinds,er_reviews,er_photos,er_rating,er_date,er_text,er_useful,er_funny,er_cool
0,Amy L.,"Cerritos, CA",230,257,161,5.0,11/12/2018,"Honestly one of the best experiences I've had in any of my travels! My bf and I knew that we wanted to go to a Comedy Cellar show on our trip to NYC, and since reservations at the OG location are instantly booked out, I made reservations at the Village Underground. This venue is still an intimate and charming little place, and the show was just perfect. I had made the reservation for Halloween night, and knowing that there's a Halloween parade at the village, we headed out extra early. Our show was at 7:30 and we made it there around 6:50, and since we were a party of two, we were able to get a front row table! We were literally an arms distance from the comics. Of course, you get made fun of when you sit in the front row but that made the whole experience extra fun! You might not know everyone in the lineup, but they are really all so good. The service here is also really top notch. Even though it's such a packed venue, they manage to discretely take your orders without disrupting the show. Not to mention they're all super friendly. Overall it was an amazing experience. I'd definitely come back and I recommend this to anyone in or traveling to NYC!",1,1,1
1,Mazen K.,"Houston, TX",1,3,0,1.0,9/29/2018,"Had a racist ignorant experience I have been a comedy cellar regular customer for almost 4 years.Today I took my wife and we went to the village. The lady sitting on the desk said we have to wait 7 minutes before she can add us to the ""paper"" waiting list. After the seven minutes passed, we went to her then she pointed us to a bouncer eating at the bar. I went to him gave him my name at 6:45 and he asked me to come back at 7:30 since am the first on the list. We came back at 7:28 and then he asked us to go out to the curb. He came out looking me in the face and called bunch of people infront of us. He called ""kaleb"" and when I asked the bouncer said he called me 4 times and I didn't answer U said u called Kaleb and bunch of people walked to you. He said now am the bottom of the list cause I didn't answer. Went back to the girl she said not their problem and if I want I can wait for the next show.I told them they called the wrong name but I guess it doesn't matter cause my name is not a typical name that matches the ""club policy""",2,,
2,Joshua W.,"Manhattan, New York, NY",89,112,56,5.0,8/28/2018,"Came here with some friends for a comedy show after work. Had heard great things from local colleagues, and boy were they right. The comedians were high quality, realtively known names, and diverse in person and comedic style. They interacted with the crowd without being caustic, and the host was quite funny as well.Food was fine, unremarkable (note that there is a 2 item minimum per person, which seems like a lot) The place gets packed, and it can get really snug in there. However, I'd still recommend this place without reservation. Looking forward to bringing some friends back soon.",2,,2
3,Emily F.,"Torrance, CA",275,127,349,4.0,1/3/2018,"Came to New York for the second time with my boyfriend and everyone recommended to check out comedy shows, especially at Comedy Cellar. We first made reservations online for the 9:15 pm show, which don't ensure you get a seat. You also don't pay for tickets until the end of the show, so you're just reserving your spots. AND you'll still need to check in and grab your tickets an hour ahead, like 8:15 pm.There was a sister bar next door, which we hung out at for a bit. Once it hit 9 pm, we walked over to the venue and got in. Because we had picked up tickets so early, we were literally seated in the front row, so close you could see every pore and detail of the comedian's face. Too close for comfort and we were crammed in a tight spot with the other folks. But ah, they can't help it. They need to utilize every inch of the space. The waitress was super attentive; she kept coming back to check up on us. The venue seating was pretty uncomfortable, but the jokes were hilarious. I haven't laughed that hard since I saw Kevin Hart at the ComedyFest in San Francisco. I'll definitely come back again to laugh my ass off.",2,1,1
4,Tiffany W.,"Brooklyn, NY",131,164,229,4.0,2/25/2018,"A must for locals and tourists alike. Timeless comedy club with the biggest names around.I've come here more recently for Michael Che's secret shows where the money goes to a specific charity of his choice. My one beef about this place is the two purchase minimum per person. But because you've got to buy something, might as well be their bomb fries and a brew.",4,,2
5,David V.,"Mercer Island, WA",0,20,0,3.0,11/13/2018,Overall I had a meh experience here. The drinks are overpriced even by NYC standards. I went on a Saturday night and I thought the comedians were solid but not great. However this place has a good reputation so it might have just been an off night.,,,
6,Peter D.,"Brooklyn, NY",4581,2941,8893,4.0,1/25/2018,"You know why I love comedy shows? Because I like laughing. Like most people, if online dating profiles are to be believed. If you don't like laughing, you have bigger problems than reading this review can help you with. The Village Underground is a solid venue. The ceilings are low, the crowd is usually out for a good time, and the size of it means you can come out with larger groups than you can't get into a lot of venues. Speaking of, you should know walking in that despite the association, it's not the Cellar, so the lineup probably isn't full of the heavy hitters you've heard of. Dave Chappelle probably isn't going to be a last minute addition, so temper your expectations.But that doesn't mean you aren't going to see some great comics. Sure, the lineups can sometimes be a little hit or miss, but this is still NYC, so you're going to catch some seriously hilarious people. And if you really don't like them, you can always just drink until everything is funny.There's a two-drink minimum (standard), so you want to be getting your money's worth anyway. The food is just food. Order some fries to soak up the alcohol, and have some laughs.",13,14,11
7,Tiffany A.,"Miami, FL",337,340,959,5.0,1/17/2018,"Loved this place! We came here last Sunday, what an awesome time, we drank, we laughed it was great. There was an awesome lineup every comedian was hilarious!!! I am so happy I found out about this place, can't wait to come back! The only tips I can give is to make reservations ahead of time and also know that you might be sitting with other people at your table. For example we were a group of 8 and they sat 4 other people at our table.There is a drink and appetizer menu which was nice.",,,1
8,Johanna B.,"Brooklyn, NY",396,483,1214,1.0,11/7/2017,"Uncomfortable venue regarding seating arrangement.I've been here before for a charity comedy show. Same this evening.What's up with the female wait staff? On several occasions they kept coming over to our section/table to 1) tell my friend and I we were talking too much (excuse me but we were engaged in the comedy skit 2) berated me for using my phone's flashlight (to see the menu since it was dark) 3) jumped over to my friend when she took her phone out to check for an important email.Really unpleasant experience.Cherry on the sundae---my umbrella was taken (accidentally or not)  from someone who shared our table. This being a torrential rainy night. Lucky me.Summary---very much dislike this venue hence, I am rarely a visitor. And the  comedians aren't even funny.",3,,
9,Yingna L.,"San Francisco, CA",272,198,444,4.0,5/16/2018,"Absolutely amazing night! The space is super super packed and you will most likely be next to a stranger, but who cares when you have plenty to laugh together. We went on a Saturday without a reservation, put our names down about 30 min before the show started, and managed to get two seats. The line up was great, varied in quality and style of course. When there's a comedian who only tell clean jokes, always a fresh breath of air. We ordered some beers and a cocktail. service was as good as one can expect in such a crowded space. Would love to go back again.",,,
