,er_cool,er_date,er_freinds,er_funny,er_location,er_name,er_photos,er_rating,er_reviews,er_text,er_useful
0,,10/5/2018,53,,"Santa Fe, NM",Morrissey J.,743,5.0,126,"The Play That Goes Wrong is absolutely fabulous!  The Lyceum is one of the old, standard playhouses in New York and is the perfect venue for this play. Be warned though, if you are a very tall person, the seating can be a bit cramped for your knees.      The cast is terrific and very, very funny.  Their timing is excellent and they keep you guessing and laughing for over two hours.      The play includes every possible snafu you've ever experienced in community theatre from the stage frightened actor to the stage hog and the actor who muffs his lines to the flimsy scenery that falls apart.  This is a real laugh riot and one of the most enjoyable plays I've every seen.     There is some interaction with the cast if you are seated near the front, so get ready for your Broadway debut, especially if you are on the aisle.",
1,,8/15/2018,193,,"Charlotte, NC",A J.,779,5.0,330,"Lovely old but restored theater. It's not to big or small and is the perfect venue for The Play That Went Wrong. The cast can interact with just about everyone in this intimate theater. Also if you at chance to come see #ThePlayThatWentWrong it's hilarious. 2 hours of no-stop laughs and some really good stage performances. Tip: try to get orchestra seats on the ends of the aisle on rows C, D or E so you may have a chance to go onstage.",1
2,,11/19/2018,31,,"Santa Clara, CA",Sedina A.,0,1.0,6,"Just saw the Play that Goes Wrong here. The show was great, but the usher on the balcony was terrible and is the reason for this review. When we arrived, he told us to sit in seats he knew were not our tickets. As the show was about to start, I noticed these could not possibly be our seats. Our seats were in the center of the section, and he had seated us on the aisle. The view was much worse due to a bar blocking the front of the stage in that position. I had purposely chose the seats on my ticket, and he hadn't bothered to make sure we got them. I pointed this out to him at intermission and asked if it was a ticketing error. He said he would check tickets, but only stopped by briefly and one person moved over. Not enough that we could sit in the seats I actually bought still, and we were a group of two. If you aren't here to do literally your only job I can't imagine why you are here.",
3,1,3/27/2018,126,,"Saratoga, CA",Monica S.,1963,4.0,480,"Because a friend thought that The Play That Goes Wrong was belly-achingly funny, he recommended this vaudville-like play with plenty of physical comedy. Moreover, the $30 rush tickets were fairly easy to obtain providing you show up at least an hour before the box office opens, you're prepared to stand in the cold (the day I went was 35°F so I wore my warmest jacket, brought hand warmers, and a hot beverage), and you don't mind front row right-in-front-of-the-stage seating. Because my seat was the front row all the way on the end stage right, I quite liked my seat because much of the activity was stage left and a stage left balcony plus I had room at my feet where I could lay my jacket down.For me, the play wasn't laugh out loud funny, but I was entertained nonetheless and recommend this light-hearted play for any age.",3
4,,5/29/2018,27,,"Manhattan, NY",Lori B.,599,4.0,106,We were laughing from the start of act one until the end of act two. Brilliant and funny show for all ages. Bring the kids.,1
5,1,3/4/2018,99,1,"Muncie, IN",Angelus K.,188,4.0,385,"Do I review the theater or the play I saw there?Briefly, ""The Play That Goes Wrong,""  was pretty good.   It is very much a throwback to the physical comedy of Buster Keaton, Harold Lloyd, and even Jackie Chan.   It must be hard to find actors today (without vaudeville training) who can do this kind of stuff.  The actors were pretty good at it, but sometimes looked uncomfortable doing some (admittedly) pretty difficult stunts.   The theater itself, like many of the Broadway theaters, is beautiful.   There are snacks for sale both outside and in the theater (a custom thermos of wine... too New York for me).  The bathrooms were accessible and the box office was run efficiently.   Would definitely see another play in this theater.",4
6,,1/2/2018,272,,"Bayonne, NJ",Adele P.,244,4.0,634,"Nice, older, smaller theater. You can see the stage from every seat. Bathrooms are limited. There's a balcony bathroom (single) that gets closed before the show starts, and it's extremely small.As for the play, we saw The Play that Went Wrong. It was a cute, slapstick comedy. I was there with my daughter (14) because her school offered the show as part of their travel club. My daughter and her friend were bored, they didn't seem to be overly interested in it. I think it's a bit dated in the presentation and if you're not a fan of older, physical comedy, it's not for you.All in all it was a nice day out and I appreciate the historic aspects of the Lyceum Theatre.",3
7,,1/13/2018,13,,"Langhorne, PA",Mark G.,18,4.0,212,A comfortable and cozy theater. We had front row center seats for The Play That Goes Wrong. Hilarious. There was a bit of audience participation. It has been a long time since I laughed so hard. It was a mixture of Laurel & Hardy slapstick with some well played scene stealing and plot mix ups. Makes you appreciate what actually goes into a play - this must have been twice as hard to do.Alex Mandell was very good.A good laugh and worth a view.Mark.,2
8,1,9/16/2017,275,,"Pittsburgh, PA",Nancy R.,422,3.0,503,"This review is for the theater, not the Play. We were in the balcony. The view was excellent. The stairs to get up here were brutal. If you have any issues with barrow, steep, multiple stairs up and down, sit on the main floor! The restrooms are exceptionally tiny and the men's room opens right in to the theater! We could see the men inside, although nothing x-rated.",1
9,1,10/9/2017,101,,"Westfield, NJ",David M.,0,4.0,655,"A historic theater whose woodwork, etc is itself something to see.The seats are a little too thinly cushioned and narrow, but the sight lines are great--this is an unusually small theater, although the steep stairs to the mezzanine or basement lounge are good training for mountain climbing. In particular, the mezzanine has just the short of tilt my petite wife needs to see over the basketball player-sized patrons who seem to buy seats in front of us to every show we see.The staff is very professional.The current production--The Play That Goes Wrong--is a 4* slapstick farce, reviewed separately.",
