,er_cool,er_date,er_freinds,er_funny,er_location,er_name,er_photos,er_rating,er_reviews,er_text,er_useful
0,,10/17/2018,296,,"New York, NY",John B.,142,4.0,42,"Your standard dive bar. Billiards table in the back, dart boards as you walk in, with ample booth and bar seating. Happy hour prices are really, really affordable (beers for under $5 in New York City?!)Bartender was friendly and quick to serve us. Nothing amazing to say- again, it a standard dive bar. But perfect for a casual drink with friends or a beer after work/class.",
1,,11/11/2018,346,,"New York, NY",Dhaval T.,153,3.0,63,We went there on a Friday night at 2am and the bar was still about almost packed. It's A neighbourhood student bar near Columbia university filled with mostly what looked like undergraduate students. Me and my friends didn't get to try any food but the drinks and bartenders nice. It's open till 4am which is fantastic!,
2,,8/14/2018,8,1,"Dumas, TX",Frank V.,0,5.0,16,"I pretty much lived in this bar in the mid-90s. It was great. At least what I remember of it was great, because most of the time I was lost in an alcoholic haze, fueled by frequent trips to the bathroom to powder my nose. The place was primarily frequented by upper west side sleazeballs, and they knew how to round out the early morning hours.Glad I don't live there anymore. I got out while I was just about alive. Others didn't.",
3,,10/27/2018,48,,"Queens, Queens, NY",Farhan A.,34,5.0,41,This bar is one of the best bars for students to come at! There is a pizza place near by so you bring food here and have it. The bar has cheap drinks and standard beers on tap. It had a pool table as well. It's a typical watering hole for students since Columbia is close by.,
4,,9/27/2018,161,,"Manhattan, NY",Lulu Y.,201,3.0,71,"Briefly attended Columbia for a masters programs related to Data/CS/Statistics. I think the core culture of the actual Columbia probably belongs to its glorious undergrads. But I felt like observing NY college students life,since I was more in the UK college scene. I gotta say some little folks were quite dodgy .. (its a clusterfck college bar unlike the better organized College bars like Oxford Unions etc.) binge eating fast foods at college cafeteria was very weird too. It was also hard to meet people who can discuss business/technology like at Stanford. Occasionally met some non dodgy people. cheap drinks tho.  Don't mean to attack on Columbia people, which include some great folks , like my professor. John P Cunningham !( wait oh snap he is a Stanford alumni)",
5,2,7/2/2018,32,1,"Manhattan, NY",Rianna R.,95,5.0,72,"I've been coming here for probably 8+ years now, and this will forever be my favorite dive bar. Drinks are basic and cheap and everything you'd want/expect from a bar like this. Timmy is the best bartender, and Paul's Trivia Tuesdays are perfection. Don't come here - I want a booth to be open for me when I go.",2
6,2,6/12/2016,175,7,"Brooklyn, NY",Maria B.,7,1.0,358,"Went here for a birthday party. This is a DIVE bar. Was greeted immediately with a very racially coded ""dress code"" sign on the door (see pic) saying ""no hats or hoods after 10pm"". First of all we all know what they're low key REALLY trying to say, second of all why does a shitty dive bar have a dress code?And it didn't stop there. I went to the bathroom and on the women's door there was yet another offensive sign indicating that the ladies room is for women only and no men are allowed (see other pic) I would like to give them the benefit of the doubt that they are trying to prevent cisgender men from harming women as there have been some incidents in the city of women being assaulted by men in bar bathrooms HOWEVER this combined with the other sign... I can't help but see it as transphobic.Apparently there are a bunch of other weird rules about this place when it comes to playing pool etc.This place is trash. Avoid at all costs.",16
7,,2/12/2018,1,,"New York, NY",Drew T.,2,3.0,7,"Cheap drinks which is really all that matters but if you're looking to make friends, this is not the place. It's packed with a bunch of stuck up Columbia students. But... at least the drinks are cheap.",
8,1,12/4/2017,0,1,"New York, NY",Alisa R.,1,5.0,18,"This is a great dive! It's BYOF, the bartenders know you, and the drinks are cheap. Don't come here if you can't handle a good dive.",
9,,1/7/2018,0,,"Jette, Belgium",Ward M.,3,4.0,25,"Nice bar, calm on a Sunday. Good background music that isn't too loud. OK selection on tap.",
10,1,1/10/2017,73,2,"Brooklyn, NY",Tiffani G.,227,4.0,146,"Great place for cheap drinks, darts, and pool!I always go to the same bars so it was good to go somewhere new and fresh!It's a local place for Columbia students and it's a nice chill spot to get drinks!",2
11,,9/10/2016,40,,"New York, NY",Adam N.,24,1.0,106,"Oh god this place is disgusting. We walked in for a couple beers and to play some darts and wish we never did. Listen, I love dive bars. I really do. But as Taffer says, dive bars don't need to be dirty. This rat hole clearly missed the memo. It is FILTHY and the draft beer is spoiled. The other customers were probably NYU students and some were fratty and assholes. Close this hole in the wall.",1
12,,5/3/2017,0,,"New York, NY",Carol D.,0,5.0,13,Nice bar to go to for casual drinks. Stopped by with a friend to grab drinks and the server was pleasant. Overall I would make it back here for a casual gathering.,1
13,,12/17/2016,182,6,"New York, NY",Rafael U.,0,1.0,1,"This place is disgusting.  The people who work here are absolutely disgusting.  Without any forewarning, the employees announced that the establishment was closed and began yelling at the customers to ""get the #%^* out!""  Then a beast of a barmaid wearing stained sweatpants begins spraying our booth with cleaning solution with our drinks still on the table.  As we stared into the abyss of ignorance attached to her shoulders, she hovered over us yelling, ""is this how it's going down tonight?"" This is the bottom of barrel my friends and not worth a dime of your hard earned money.",5
14,,7/4/2016,347,,"Manhattan, NY",Giovanni C.,13,2.0,34,"Great place to chill w friends - if only the bar didn't include the obnoxious pool player w all HIS stupid house rules. I took my 21 year old friend to celebrate and her birthday, she wanted to shoot pool w friends, only to find ourselves having to play w a complete arrogant stranger. Apparently you have to play this chump Inorder to play w your friends. Sucks man, HE NEEDS TO GO! And if you can't GO, be less of an ass to people.",1
15,1,1/7/2016,25,,"New York, NY",May K.,420,3.0,169,Cheap drinks and chill atmosphere. Just lots of old dudes lol. One young bartender that's normally here is amazingly nice and let us eat pizza in here! Other one is a bit grouchy but gets the job done! During term this place is packed w Columbia students. When there's break it's really chill and empty :D,1
16,,"8/23/2017
            





Updated review",6,,"New York, NY",Dave C.,0,3.0,298,"This is really a god awful place; it's not a very large space at all, rundown, smells and is populated by some really grubby looking older man including the owner who looks like a cross between the Tom Baker Doctor Who and Jabba the hut! These older creeps hang out at this bar because it is populated by Columbia students, many of whom are under age which is deliberate because that's what kind of girl the owner likes; this place is packed Thursday through Saturday night and does not do anything to prevent people from leaving in states so I need created that something may happen to them once they leave the bar; they don't care! I lived near this pit of deprivation for several years and heard many horror stories from people who lived in my building, which was a college dorm. If you are an attractive college student female, beware!",
17,,3/3/2015,1,,"Manhattan, NY",Evan P.,2,3.0,273,"A true dive bar uptown.1020 doesn't try to be something it's not. It's run down, often crowded, dimly lit, poorly ventilated. But the drinks are cheap and the staff is friendly and attentive. Try coming here at different times and the crowd is a bit different. Weekend afternoons are great, as is trivia night.",
